lon,lat,pptn,Month
104.9166815,22.91667099,112,January
105.2500149,20.08333751,125,February
109.0833484,12.41667044,190,March
107.750015,12.91667047,178,April
107.9166817,14.0833372,129,May
106.4166816,10.75000369,210,June
107.5833483,12.41667044,147,July
103.2500148,22.41667096,98,August
104.2500148,22.75000432,90,September
105.2500149,9.583336962,217,October
103.2500148,21.75000426,90,November
107.9166817,13.58333717,161,December
103.0833481,21.75000426,94,January
108.4166817,15.4166706,179,February
105.9166816,9.583336962,219,March
107.750015,15.58333728,158,April
103.9166815,20.91667089,100,May
107.5833483,11.41667039,173,June
105.2500149,21.41667091,113,July
104.7500149,22.75000432,69,August
105.4166816,18.58333743,150,September
104.9166815,19.41667081,110,October
103.2500148,21.25000424,88,November
107.750015,15.91667063,149,December
105.9166816,20.91667089,137,January
105.4166816,23.08333767,87,February
109.0833484,13.4166705,190,March
107.4166817,10.91667037,195,April
105.0833482,9.583336962,216,May
105.4166816,21.75000426,113,June
107.750015,14.7500039,123,July
106.2500149,9.750003638,221,August
104.0833481,19.41667081,96,September
104.9166815,20.91667089,101,October
106.5833483,11.91667042,189,November
108.7500151,13.08333714,186,December
105.9166816,22.58333764,78,January
108.4166817,12.41667044,119,February
108.5833484,11.91667042,115,March
103.9166815,21.91667094,84,April
106.5833483,9.916670313,221,May
105.9166816,18.25000408,157,June
107.750015,15.4166706,145,July
108.5833484,13.91667052,158,August
106.0833483,9.416670287,220,September
104.9166815,21.75000426,119,October
108.250015,15.58333728,180,November
108.5833484,14.0833372,151,December
105.7500149,20.58333754,136,January
107.5833483,12.08333709,147,February
106.2500149,18.08333741,159,March
105.0833482,22.08333761,120,April
108.5833484,11.41667039,174,May
107.750015,16.0833373,154,June
106.750015,21.75000426,100,July
105.2500149,20.25000419,124,August
104.4166815,20.91667089,81,September
107.750015,10.91667037,192,October
104.5833482,20.75000421,80,November
102.9166814,22.41667096,78,December
108.4166817,15.75000395,189,January
107.5833483,14.25000387,134,February
105.5833482,9.250003612,218,March
105.0833482,19.41667081,119,April
105.2500149,19.75000416,128,May
105.2500149,19.41667081,133,June
103.7500148,22.58333764,96,July
109.0833484,11.91667042,198,August
106.4166816,18.08333741,163,September
104.9166815,22.08333761,120,October
105.9166816,17.91667073,149,November
107.5833483,13.75000385,162,December
107.250015,12.25000377,153,January
103.5833481,21.41667091,77,February
106.5833483,17.4166707,166,March
107.5833483,13.25000382,176,April
107.4166817,21.58333759,96,May
104.5833482,22.58333764,81,June
107.5833483,15.4166706,117,July
105.0833482,19.08333746,139,August
108.9166817,14.58333722,176,September
102.4166814,22.58333764,94,October
107.0833483,10.58333701,212,November
