"Land_cover","Band1","Band2","Band3","Band4"
"Agriculture",0.0572980232536793,0.0750967711210251,0.0899946764111519,0.223597675561905
"Agriculture",0.0362944453954697,0.0436950661242008,0.0335866697132587,0.241986945271492
"Agriculture",0.0364999994635582,0.0443999990820885,0.0332999974489212,0.22579999268055
"Agriculture",0.0659925565123558,0.0775943621993065,0.0901945978403091,0.195286899805069
"Agriculture",0.0565962456166744,0.0704938396811485,0.0936894938349724,0.173983961343765
"Agriculture",0.0708920061588287,0.0868924111127853,0.1173951998353,0.186778545379639
"Agriculture",0.0593990944325924,0.0719943195581436,0.0897945463657379,0.139186516404152
"Agriculture",0.0673999935388565,0.0868000015616417,0.129999995231628,0.215499982237816
"Agriculture",0.0355999991297722,0.0481999963521957,0.0328999981284142,0.269699990749359
"Agriculture",0.0663996636867523,0.0853918641805649,0.115291230380535,0.218777805566788
"Agriculture",0.0484953820705414,0.0631948634982109,0.0692964717745781,0.189983710646629
"Agriculture",0.0612964928150177,0.0711908116936684,0.0876911580562592,0.172483533620834
"Agriculture",0.0479971803724766,0.0619945228099823,0.059099555015564,0.262096494436264
"Agriculture",0.036795724183321,0.0457948967814445,0.0336897075176239,0.250786691904068
"Agriculture",0.0658928453922272,0.0836929902434349,0.125584334135056,0.190784588456154
"Agriculture",0.0660963952541351,0.0866938978433609,0.103886418044567,0.260875672101974
"Agriculture",0.0697959288954735,0.0885958522558212,0.127192065119743,0.245994687080383
"Agriculture",0.0607940293848515,0.0649953782558441,0.0833966135978699,0.117895141243935
"Agriculture",0.0696963369846344,0.0803967043757439,0.107285745441914,0.163198038935661
"Agriculture",0.0636921748518944,0.079191692173481,0.103999011218548,0.17778654396534
"Agriculture",0.0445922166109085,0.0512929037213326,0.0479985401034355,0.172979056835175
"Agriculture",0.0490975193679333,0.0672992765903473,0.054987832903862,0.267196625471115
"Agriculture",0.0379999950528145,0.0461999997496605,0.0349999964237213,0.248899981379509
"Agriculture",0.0770997703075409,0.0976908877491951,0.124288998544216,0.201977238059044
"Agriculture",0.0539970435202122,0.0626963004469872,0.0813887193799019,0.164698824286461
"Agriculture",0.0524981543421745,0.0706922933459282,0.0605948232114315,0.267298132181168
"Agriculture",0.0507956594228745,0.0638966783881187,0.0696879103779793,0.197283729910851
"Agriculture",0.0490975193679333,0.0663990080356598,0.0729997903108597,0.197080433368683
"Agriculture",0.0529963485896587,0.0677930563688278,0.0768857821822166,0.177583768963814
"Agriculture",0.0439944006502628,0.0530982799828053,0.048893928527832,0.216997072100639
"Agriculture",0.0546945258975029,0.0658956319093704,0.0718957483768463,0.188877269625664
"Agriculture",0.0428940616548061,0.0538968965411186,0.0483897887170315,0.204698383808136
"Agriculture",0.061495803296566,0.0696903690695763,0.0908903181552887,0.150582239031792
"Agriculture",0.084494836628437,0.11059931665659,0.152793377637863,0.211286693811417
"Agriculture",0.0354999974370003,0.0421999990940094,0.0308999996632338,0.225700005888939
"Agriculture",0.0729930549860001,0.0859967842698097,0.118386343121529,0.169595286250114
"Agriculture",0.0590915381908417,0.0711908116936684,0.0918900445103645,0.139886677265167
"Agriculture",0.0392984598875046,0.0469996705651283,0.0396880693733692,0.2188920378685
"Agriculture",0.0708963051438332,0.0803920552134514,0.100487574934959,0.151078730821609
"Agriculture",0.036795724183321,0.0468943268060684,0.0333920381963253,0.266886979341507
"Agriculture",0.0379999950528145,0.0465999990701675,0.034000001847744,0.222699984908104
"Agriculture",0.0359999984502792,0.0420999974012375,0.0346999987959862,0.204899996519089
"Agriculture",0.0470961220562458,0.0592985227704048,0.0637852475047112,0.264092892408371
"Agriculture",0.0616951063275337,0.0685916766524315,0.0870998427271843,0.147886276245117
"Agriculture",0.0445965342223644,0.0555957779288292,0.0462860576808453,0.25408411026001
"Agriculture",0.061599999666214,0.0798999890685081,0.0981999933719635,0.24379999935627
"Agriculture",0.0604994036257267,0.0679914802312851,0.0813973098993301,0.150480285286903
"Agriculture",0.0434962064027786,0.0484952889382839,0.0402878522872925,0.241098389029503
"Agriculture",0.0537934824824333,0.0724975541234016,0.0599949955940247,0.300595134496689
"Agriculture",0.0334999933838844,0.0393999963998795,0.0297999996691942,0.212599992752075
"Agriculture",0.0670970380306244,0.0803920552134514,0.109197378158569,0.202383920550346
"Agriculture",0.0412955358624458,0.0494923777878284,0.0402878522872925,0.245091840624809
"Agriculture",0.0714983716607094,0.090197965502739,0.126392394304276,0.198682963848114
"Agriculture",0.0428983792662621,0.0579917021095753,0.0540924072265625,0.230796545743942
"Agriculture",0.0552966445684433,0.0706971064209938,0.0835879892110825,0.210676357150078
"Agriculture",0.0324952639639378,0.0380956567823887,0.0307912323623896,0.211085990071297
"Agriculture",0.0376999974250793,0.0447999984025955,0.0353999957442284,0.220799997448921
"Agriculture",0.0408969819545746,0.0470964722335339,0.0405834428966045,0.192387446761131
"Agriculture",0.0824933424592018,0.100493252277374,0.129183173179626,0.211681142449379
"Agriculture",0.0579955615103245,0.0729961842298508,0.0906903892755508,0.190276339650154
