"Class_name","Band1","Band2","Band3","Band4"
"Extraction",0.0407999977469444,0.0503999963402748,0.0625,0.228599980473518
"Extraction",0.0403999984264374,0.0493999943137169,0.0604999959468842,0.217699989676476
"Extraction",0.0391999930143356,0.0503999963402748,0.0594999939203262,0.224299982190132
"Extraction",0.0391999930143356,0.0502999946475029,0.0590000003576279,0.234399989247322
"Extraction",0.0425999984145164,0.0526999980211258,0.0647999942302704,0.226899996399879
"Extraction",0.0435999929904938,0.0532999932765961,0.0665999948978424,0.215399995446205
"Extraction",0.0409999936819077,0.051599994301796,0.0638999938964844,0.217299982905388
"Extraction",0.0405999943614006,0.0503999963402748,0.0612000003457069,0.219799980521202
"Extraction",0.0404999926686287,0.0511999949812889,0.0617999956011772,0.214299991726875
"Extraction",0.0397999957203865,0.0493999943137169,0.0625999942421913,0.207299992442131
"Extraction",0.0396999940276146,0.0508999973535538,0.0620999932289124,0.215800002217293
"Extraction",0.0407999977469444,0.051499992609024,0.0618999972939491,0.228900000452995
"Extraction",0.0457999929785728,0.0584999993443489,0.0739999935030937,0.22019998729229
"Extraction",0.0496999993920326,0.0603999942541122,0.0789999961853027,0.210599988698959
"Extraction",0.0438999980688095,0.054699994623661,0.0711999982595444,0.211199998855591
"Extraction",0.0434999987483025,0.0527999997138977,0.0671999976038933,0.210599988698959
"Extraction",0.0445999950170517,0.0521999970078468,0.0644999966025352,0.208299994468689
"Extraction",0.0424999967217445,0.0502999946475029,0.0625,0.206299990415573
"Extraction",0.0404999926686287,0.051599994301796,0.0622999966144562,0.214200004935265
"Extraction",0.0387999936938286,0.0505999997258186,0.0613999962806702,0.226099982857704
"Extraction",0.0434999987483025,0.056599996984005,0.0699999928474426,0.228999987244606
"Extraction",0.0490999966859818,0.0636999979615211,0.08279999345541,0.230499997735023
"Extraction",0.0472999960184097,0.0598999932408333,0.0784999951720238,0.212199985980988
"Extraction",0.0448999926447868,0.0558999925851822,0.0729999989271164,0.219799980521202
"Extraction",0.0436999946832657,0.0521999970078468,0.0663999989628792,0.204499989748001
"Extraction",0.0424999967217445,0.051999993622303,0.0650999993085861,0.201399996876717
"Extraction",0.0422999933362007,0.0523999929428101,0.0647999942302704,0.203399986028671
"Extraction",0.0400999933481216,0.051499992609024,0.0637999996542931,0.209599986672401
"Extraction",0.0412999987602234,0.0541999936103821,0.0648999959230423,0.235599979758263
"Extraction",0.0439999997615814,0.0607999935746193,0.0759999975562096,0.249899998307228
"Extraction",0.0475999936461449,0.0586999952793121,0.0759999975562096,0.233199998736382
"Extraction",0.0434999987483025,0.0567999929189682,0.0719999969005585,0.225399985909462
"Extraction",0.0399999991059303,0.0490999966859818,0.0631999969482422,0.199899986386299
"Extraction",0.0424999967217445,0.051099993288517,0.0673999935388565,0.198699995875359
"Extraction",0.0440999940037727,0.0535999983549118,0.0683999955654144,0.203199997544289
"Extraction",0.0421999990940094,0.0527999997138977,0.0661999955773354,0.205899998545647
"Extraction",0.0409999936819077,0.0539999976754189,0.0689999982714653,0.200999990105629
"Extraction",0.0418999940156937,0.0530999973416328,0.0661999955773354,0.222199991345406
"Extraction",0.0437999963760376,0.0548999980092049,0.0699999928474426,0.250900000333786
"Extraction",0.0442999973893166,0.055699996650219,0.0710999965667725,0.241899982094765
"Extraction",0.0450999960303307,0.060199998319149,0.0786999985575676,0.221200004220009
"Extraction",0.0442999973893166,0.0554999932646751,0.0725999996066093,0.201199993491173
"Extraction",0.0422999933362007,0.053799994289875,0.0667999982833862,0.197599992156029
"Extraction",0.0410999953746796,0.0511999949812889,0.0639999955892563,0.200499996542931
"Extraction",0.0425999984145164,0.0512999966740608,0.0662999972701073,0.198899999260902
"Extraction",0.0423999950289726,0.0508999973535538,0.0644999966025352,0.196699991822243
"Extraction",0.0419999957084656,0.0527999997138977,0.0671999976038933,0.198099985718727
"Extraction",0.0419999957084656,0.052499994635582,0.0673999935388565,0.215399995446205
"Extraction",0.0436999946832657,0.0539999976754189,0.0685999989509583,0.247299984097481
"Extraction",0.0436999946832657,0.0561999976634979,0.0709999948740005,0.243499979376793
"Extraction",0.0460999980568886,0.0611999928951263,0.0793999955058098,0.235299989581108
"Extraction",0.0489999949932098,0.0608999952673912,0.080099992454052,0.214900001883507
"Extraction",0.0435999929904938,0.055699996650219,0.0694999992847443,0.202199995517731
"Extraction",0.0412999987602234,0.050199992954731,0.0621999949216843,0.196499988436699
"Extraction",0.0396999940276146,0.051499992609024,0.0653999969363213,0.197899997234344
"Extraction",0.0402999967336655,0.0496999993920326,0.0599999949336052,0.194199994206429
"Extraction",0.0429999977350235,0.0539999976754189,0.0714999958872795,0.193199992179871
"Extraction",0.0442999973893166,0.0541999936103821,0.0715999975800514,0.208999991416931
"Extraction",0.0441999956965446,0.05519999563694,0.0705999955534935,0.239700004458427
"Extraction",0.0427999943494797,0.0558999925851822,0.0702999979257584,0.243599995970726
"Extraction",0.0447999984025955,0.055699996650219,0.0732999965548515,0.239199981093407
"Extraction",0.0486999973654747,0.0590999945998192,0.0790999978780746,0.229399994015694
