"","LN.5years.","Code","Values"
"5295","1997","X000665",NA
"5296","1998","X000665",NA
"5297","1999","X000665",NA
"5298","2000","X000665","-3.894954461"
"5299","2001","X000665","-4.035019218"
"5300","2002","X000665","-4.083764659"
"5301","2003","X000665","-4.002471469"
"5302","2004","X000665","-2.580294758"
"5303","2005","X000665","-2.610751062"
"5304","2006","X000665","-1.98279242"
"5305","2007","X000665","-1.944462224"
"5306","2008","X000665","-1.928299287"
"5307","2009","X000665","-1.947325698"
"5308","2010","X000665","-1.910408891"
"5309","2011","X000665","-3.471499576"
"5310","2012","X000665","-3.612173737"
"5311","2013","X000665","-3.643581207"
"5312","2014","X000665","-4.891895339"
"5313","2015","X000665","-4.234105015"
"5314","1995","X000666",NA
"5315","1996","X000666",NA
"5316","1997","X000666",NA
"5317","1998","X000666",NA
"5318","1999","X000666",NA
"5319","2000","X000666","-3.167141131"
"5320","2001","X000666","-3.285743288"
"5321","2002","X000666","-3.655293251"
"5322","2003","X000666","-3.657889992"
"5323","2004","X000666","-4.483019398"
"5324","2005","X000666","-4.37301338"
"5325","2006","X000666","-5.003046993"
"5326","2007","X000666","-5.339092297"
"5327","2008","X000666","-5.00192474"
"5328","2009","X000666","-3.886053577"
"5329","2010","X000666","-3.427788262"
"5330","2011","X000666","-3.238928789"
"5331","2012","X000666","-2.560375129"
"5332","2013","X000666","-2.289485669"
"5333","2014","X000666","-2.179623003"
"5334","2015","X000666","-2.683672336"
"5335","1995","X000667",NA
"5336","1996","X000667",NA
"5337","1997","X000667",NA
"5338","1998","X000667",NA
"5339","1999","X000667",NA
"5340","2000","X000667","-2.645063976"
"5341","2001","X000667","-2.658041198"
"5342","2002","X000667","-2.61260521"
"5343","2003","X000667","-3.186833997"
"5344","2004","X000667","-3.144844412"
"5345","2005","X000667","-3.088217301"
"5346","2006","X000667","-2.944859377"
"5347","2007","X000667","-3.50973635"
"5348","2008","X000667","-3.281978089"
"5349","2009","X000667","-3.205913377"
"5350","2010","X000667","-2.958353671"
"5351","2011","X000667","-2.776802538"
"5352","2012","X000667","-2.759194605"
"5353","2013","X000667","-3.693714389"
"5354","2014","X000667","-3.96134205"
"5355","2015","X000667","-4.500419701"
"5356","1995","X000668",NA
"5357","1996","X000668",NA
"5358","1997","X000668",NA
"5359","1998","X000668",NA
"5360","1999","X000668",NA
"5361","2000","X000668","-3.740709749"
"5362","2001","X000668","-3.692618696"
"5363","2002","X000668","-3.383480913"
"5364","2003","X000668","-3.797808066"
"5365","2004","X000668","-3.819128754"
"5366","2005","X000668","-3.575211316"
"5367","2006","X000668","-3.57292763"
"5368","2007","X000668","-3.396694094"
"5369","2008","X000668","-2.81105181"
"5370","2009","X000668","-2.914499728"
"5371","2010","X000668","-2.861644551"
"5372","2011","X000668","-3.041839256"
"5373","2012","X000668","-2.508954472"
"5374","2013","X000668","-2.517877336"
"5375","2014","X000668","-2.521451004"
"5376","2015","X000668","-3.001217631"
"5377","1995","X000669",NA
"5378","1996","X000669",NA
"5379","1997","X000669",NA
"5380","1998","X000669",NA
"5381","1999","X000669",NA
"5382","2000","X000669","-2.411755161"
"5383","2001","X000669","-2.379411784"
"5384","2002","X000669","-2.327449575"
"5385","2003","X000669","-2.615457553"
"5386","2004","X000669","-3.74138485"
"5387","2005","X000669","-3.671343188"
"5388","2006","X000669","-3.984087617"
"5389","2007","X000669","-4.462163119"
"5390","2008","X000669","-4.335771281"
"5391","2009","X000669","-4.090322058"
"5392","2010","X000669","-3.896867186"
"5393","2011","X000669","-2.046915652"
"5394","2012","X000669","-2.100756426"
"5395","2013","X000669","-2.000181685"
"5396","2014","X000669","-1.91754014"
"5397","2015","X000669","-1.878625679"
"5398","1995","X000670",NA
"5399","1996","X000670",NA
"5400","1997","X000670",NA
"5401","1998","X000670",NA
"5402","1999","X000670",NA
"5403","2000","X000670","-2.615678151"
"5404","2001","X000670","-2.553968314"
"5405","2002","X000670","-2.39921182"
"5406","2003","X000670","-2.573406081"
"5407","2004","X000670","-2.819079252"
"5408","2005","X000670","-2.861629733"
"5409","2006","X000670","-2.397405947"
"5410","2007","X000670","-2.525582653"
"5411","2008","X000670","1.929039655"
"5412","2009","X000670","1.93027992"
"5413","2010","X000670","1.93345272"
"5414","2011","X000670","1.939237374"
"5415","2012","X000670","1.941087828"
"5416","2013","X000670","-2.972033285"
"5417","2014","X000670","-2.918694695"
"5418","2015","X000670","-2.882094702"
"5419","1995","X000671",NA
"5420","1996","X000671",NA
"5421","1997","X000671",NA
"5422","1998","X000671",NA
"5423","1999","X000671",NA
"5424","2000","X000671","-3.233497729"
"5425","2001","X000671","-3.364044754"
"5426","2002","X000671","-3.527743958"
"5427","2003","X000671","-3.40159636"
"5428","2004","X000671","-3.396220345"
"5429","2005","X000671","-3.378937625"
"5430","2006","X000671","-3.750020608"
"5431","2007","X000671","-3.732378095"
"5432","2008","X000671","-3.804671606"
"5433","2009","X000671","-3.770547886"
"5434","2010","X000671","-3.589839814"
"5435","2011","X000671","-2.900041068"
"5436","2012","X000671","-2.953912048"
"5437","2013","X000671","-2.955905476"
"5438","2014","X000671","-3.020243368"
"5439","2015","X000671","-3.025605074"
"5440","1995","X000672",NA
"5441","1996","X000672",NA
"5442","1997","X000672",NA
"5443","1998","X000672",NA
"5444","1999","X000672",NA
"5445","2000","X000672","-4.522173279"
"5446","2001","X000672","-4.664430587"
"5447","2002","X000672","-4.2826707"
"5448","2003","X000672","-2.490570619"
"5449","2004","X000672","-2.511005308"
"5450","2005","X000672","-2.125301722"
"5451","2006","X000672","-1.868609917"
"5452","2007","X000672","-2.020994197"
"5453","2008","X000672","-2.037663847"
"5454","2009","X000672","-2.369949898"
"5455","2010","X000672","-2.168884062"
"5456","2011","X000672","-2.38639075"
"5457","2012","X000672","-2.664871904"
"5458","2013","X000672","-3.386192654"
"5459","2014","X000672","-2.602563181"
"5460","2015","X000672","-2.388908037"
"5461","1995","X000673",NA
"5462","1996","X000673",NA
"5463","1997","X000673",NA
"5464","1998","X000673",NA
"5465","1999","X000673",NA
"5466","2000","X000673","-3.479694541"
"5467","2001","X000673","-3.361600474"
"5468","2002","X000673","-3.130564362"
"5469","2003","X000673","-3.16829215"
"5470","2004","X000673","-3.246065242"
"5471","2005","X000673","-3.367529805"
"5472","2006","X000673","-1.740992611"
"5473","2007","X000673","-1.797201251"
"5474","2008","X000673","-1.883110062"
"5475","2009","X000673","-1.76612013"
"5476","2010","X000673","-1.641408248"
"5477","2011","X000673","-1.663184791"
"5478","2012","X000673","-1.776461004"
"5479","2013","X000673","-1.713674944"
"5480","2014","X000673","-1.600811555"
"5481","2015","X000673","-2.051197017"
"5482","1995","X000675",""
"5483","1996","X000675",""
"5484","1997","X000675",""
"5485","1998","X000675",""
"5486","1999","X000675",""
"5487","2000","X000675","-2.68231101"
"5488","2001","X000675","-2.528103279"
"5489","2002","X000675","-1.890548477"
"5490","2003","X000675","-1.91951261"
"5491","2004","X000675","-2.021986235"
"5492","2005","X000675","-1.865528636"
"5493","2006","X000675","#DIV/0!"
"5494","2007","X000675","#DIV/0!"
"5495","2008","X000675","#DIV/0!"
"5496","2009","X000675","#DIV/0!"
"5497","2010","X000675","#DIV/0!"
"5498","2011","X000675","#DIV/0!"
"5499","2012","X000675","#DIV/0!"
"5500","2013","X000675","#DIV/0!"
"5501","2014","X000675","#DIV/0!"
"5502","2015","X000675","#DIV/0!"
"5503","1995","X000676",NA
"5504","1996","X000676",NA
"5505","1997","X000676",NA
"5506","1998","X000676",NA
"5507","1999","X000676",NA
"5508","2000","X000676","-3.604969559"
"5509","2001","X000676","-3.747918724"
"5510","2002","X000676","-3.950614945"
"5511","2003","X000676","-4.003435086"
"5512","2004","X000676","-3.631809948"
"5513","2005","X000676","-3.43259336"
"5514","2006","X000676","-3.465530794"
"5515","2007","X000676","-4.188339884"
"5516","2008","X000676","-4.790335033"
"5517","2009","X000676","-3.525758042"
"5518","2010","X000676","-2.911002454"
"5519","2011","X000676","-2.942734462"
"5520","2012","X000676","-2.712768882"
"5521","2013","X000676","-2.35683068"
"5522","2014","X000676","-2.381667164"
"5523","2015","X000676","-2.329853143"
"5524","1995","X000677",NA
"5525","1996","X000677",NA
"5526","1997","X000677",NA
"5527","1998","X000677",NA
"5528","1999","X000677",NA
"5529","2000","X000677","-3.369278435"
"5530","2001","X000677","-3.423012524"
"5531","2002","X000677","-3.297147388"
"5532","2003","X000677","-3.310636005"
"5533","2004","X000677","-4.022879806"
"5534","2005","X000677","-4.0084034"
"5535","2006","X000677","-4.617633407"
"5536","2007","X000677","-4.524214449"
"5537","2008","X000677","-3.750167191"
"5538","2009","X000677","-2.335489354"
"5539","2010","X000677","-2.365870535"
"5540","2011","X000677","-2.306965902"
"5541","2012","X000677","-2.104079541"
"5542","2013","X000677","-2.389587348"
"5543","2014","X000677","-2.40625681"
"5544","2015","X000677","-3.039667094"
"5545","1995","X000678",NA
"5546","1996","X000678",NA
"5547","1997","X000678",NA
"5548","1998","X000678",NA
"5549","1999","X000678",NA
"5550","2000","X000678","-4.089090924"
"5551","2001","X000678","-2.779406785"
"5552","2002","X000678","-2.538230468"
"5553","2003","X000678","-2.602015326"
"5554","2004","X000678","-2.932770252"
"5555","2005","X000678","-3.073499356"
"5556","2006","X000678","-2.93996927"
"5557","2007","X000678","-3.12994752"
"5558","2008","X000678","-3.400931983"
"5559","2009","X000678","-4.201890727"
"5560","2010","X000678","-4.215541145"
"5561","2011","X000678","-4.445868611"
"5562","2012","X000678","-4.404468306"
"5563","2013","X000678","-4.124522536"
"5564","2014","X000678","-3.924619046"
"5565","2015","X000678","-3.966495281"
"5566","1995","X000679",NA
"5567","1996","X000679",NA
"5568","1997","X000679",NA
"5569","1998","X000679",NA
"5570","1999","X000679",NA
"5571","2000","X000679","-4.662097191"
"5572","2001","X000679","-4.797742766"
"5573","2002","X000679","-4.554322746"
"5574","2003","X000679","-4.463686463"
"5575","2004","X000679","-3.402902522"
"5576","2005","X000679","-3.451266202"
"5577","2006","X000679","-3.416926986"
"5578","2007","X000679","-3.563661629"
"5579","2008","X000679","-3.548654267"
"5580","2009","X000679","-3.974781968"
"5581","2010","X000679","-3.642415774"
"5582","2011","X000679","-3.405714846"
"5583","2012","X000679","-3.427136534"
"5584","2013","X000679","-3.584104246"
"5585","2014","X000679","-3.512898133"
"5586","2015","X000679","-3.536177846"
"5587","1995","X000680",NA
"5588","1996","X000680",NA
"5589","1997","X000680",NA
"5590","1998","X000680",NA
"5591","1999","X000680",NA
"5592","2000","X000680","-3.677949805"
"5593","2001","X000680","-3.800518305"
"5594","2002","X000680","-3.866841552"
"5595","2003","X000680","-3.071495225"
"5596","2004","X000680","-2.940087041"
"5597","2005","X000680","-3.107205693"
"5598","2006","X000680","-3.358897518"
"5599","2007","X000680","-3.427843348"
"5600","2008","X000680","-3.132179078"
"5601","2009","X000680","-3.02516482"
"5602","2010","X000680","-3.150201942"
"5603","2011","X000680","-3.661167352"
"5604","2012","X000680","-3.125828693"
"5605","2013","X000680","-2.775727809"
"5606","2014","X000680","-2.661989116"
"5607","2015","X000680","-2.732676494"
"5608","1995","X000681",NA
"5609","1996","X000681",NA
"5610","1997","X000681",NA
"5611","1998","X000681",NA
"5612","1999","X000681",NA
"5613","2000","X000681","-3.275160983"
"5614","2001","X000681","-3.437376184"
"5615","2002","X000681","-2.906229289"
"5616","2003","X000681","-2.438970301"
"5617","2004","X000681","-2.424348857"
"5618","2005","X000681","-2.282712257"
"5619","2006","X000681","-2.814599731"
"5620","2007","X000681","-2.583244689"
"5621","2008","X000681","-1.176892287"
"5622","2009","X000681","-1.245696237"
"5623","2010","X000681","-1.271759318"
"5624","2011","X000681","-1.510606308"
"5625","2012","X000681","-1.664486031"
"5626","2013","X000681","-1.52227302"
"5627","2014","X000681","-1.325873528"
"5628","2015","X000681","-1.323459171"
"5629","1995","X000682",NA
"5630","1996","X000682",NA
"5631","1997","X000682",NA
"5632","1998","X000682",NA
"5633","1999","X000682",NA
"5634","2000","X000682","-1.779529046"
"5635","2001","X000682","-1.887546654"
"5636","2002","X000682","-1.400732013"
"5637","2003","X000682","-1.013051156"
"5638","2004","X000682","-0.993617704"
"5639","2005","X000682","-1.252245355"
"5640","2006","X000682","-2.235511914"
"5641","2007","X000682","-2.217803975"
"5642","2008","X000682","-5.388763633"
"5643","2009","X000682","-5.254411983"
"5644","2010","X000682","-5.058003194"
"5645","2011","X000682","-5.111273599"
"5646","2012","X000682","-5.643714902"
"5647","2013","X000682","-5.458343182"
"5648","2014","X000682","-4.90063041"
"5649","2015","X000682","-4.79050928"
"5650","1995","X000683",NA
"5651","1996","X000683",NA
"5652","1997","X000683",NA
"5653","1998","X000683",NA
"5654","1999","X000683",NA
"5655","2000","X000683","-3.366475769"
"5656","2001","X000683","-3.406227707"
"5657","2002","X000683","-3.038245665"
"5658","2003","X000683","-3.296859672"
"5659","2004","X000683","-3.60470369"
"5660","2005","X000683","-3.511636039"
"5661","2006","X000683","-3.096067403"
"5662","2007","X000683","-2.993915449"
"5663","2008","X000683","-2.98230572"
"5664","2009","X000683","-3.091462469"
"5665","2010","X000683","-2.595594516"
"5666","2011","X000683","-2.568734711"
"5667","2012","X000683","-2.567203455"
"5668","2013","X000683","-2.570632812"
"5669","2014","X000683","-2.461608132"
"5670","2015","X000683","-3.317630204"
"5671","1995","X000685",NA
"5672","1996","X000685",NA
"5673","1997","X000685",NA
"5674","1998","X000685",NA
"5675","1999","X000685",NA
"5676","2000","X000685","-3.483057128"
"5677","2001","X000685","-3.522606019"
"5678","2002","X000685","-3.537890842"
"5679","2003","X000685","-3.60240638"
"5680","2004","X000685","-3.899052048"
"5681","2005","X000685","-4.76059455"
"5682","2006","X000685","-4.509441522"
"5683","2007","X000685","-3.590882836"
"5684","2008","X000685","-3.103873776"
"5685","2009","X000685","-3.05603559"
"5686","2010","X000685","-3.084166869"
"5687","2011","X000685","-4.020096317"
"5688","2012","X000685","-3.654435964"
"5689","2013","X000685","-2.996673972"
"5690","2014","X000685","-2.932484623"
"5691","2015","X000685","-2.983524821"
"5692","1995","X000686",NA
"5693","1996","X000686",NA
"5694","1997","X000686",NA
"5695","1998","X000686",NA
"5696","1999","X000686",NA
"5697","2000","X000686","-3.841193462"
"5698","2001","X000686","-3.924275906"
"5699","2002","X000686","-3.090604901"
"5700","2003","X000686","-2.914214491"
"5701","2004","X000686","-2.982047757"
"5702","2005","X000686","-3.288122993"
"5703","2006","X000686","-3.360586474"
"5704","2007","X000686","-3.548895075"
"5705","2008","X000686","-1.661447118"
"5706","2009","X000686","-1.687567678"
"5707","2010","X000686","-1.754553978"
"5708","2011","X000686","-1.805564242"
"5709","2012","X000686","-1.672416176"
"5710","2013","X000686","-2.103699598"
"5711","2014","X000686","-2.306871592"
"5712","2015","X000686","-3.002937355"
"5713","1995","X000687",NA
"5714","1996","X000687",NA
"5715","1997","X000687",NA
"5716","1998","X000687",NA
"5717","1999","X000687",NA
"5718","2000","X000687","-3.61269324"
"5719","2001","X000687","-3.047291597"
"5720","2002","X000687","-2.848945329"
"5721","2003","X000687","-3.075535071"
"5722","2004","X000687","-3.398160859"
"5723","2005","X000687","-3.888425099"
"5724","2006","X000687","-2.934416908"
"5725","2007","X000687","-2.920785205"
"5726","2008","X000687","-2.929214824"
"5727","2009","X000687","-2.761100816"
"5728","2010","X000687","-2.643626628"
"5729","2011","X000687","-2.789431027"
"5730","2012","X000687","-2.764404155"
"5731","2013","X000687","-2.782463526"
"5732","2014","X000687","-3.062399026"
"5733","2015","X000687","-3.15452244"
"5734","1995","X000688",NA
"5735","1996","X000688",NA
"5736","1997","X000688",NA
"5737","1998","X000688",NA
"5738","1999","X000688",NA
"5739","2000","X000688","-3.752467561"
"5740","2001","X000688","-3.33906726"
"5741","2002","X000688","-3.163836189"
"5742","2003","X000688","-3.09973513"
"5743","2004","X000688","-2.96232695"
"5744","2005","X000688","-2.451327255"
"5745","2006","X000688","-0.267693814"
"5746","2007","X000688","-0.175413471"
"5747","2008","X000688","3.881389934"
"5748","2009","X000688","3.878276986"
"5749","2010","X000688","3.86113182"
"5750","2011","X000688","3.84226074"
"5751","2012","X000688","3.84497434"
"5752","2013","X000688","1.491150272"
"5753","2014","X000688","1.589637313"
"5754","2015","X000688","1.623052123"
"5755","1995","X000689",""
"5756","1996","X000689",""
"5757","1997","X000689",""
"5758","1998","X000689",""
"5759","1999","X000689",""
"5760","2000","X000689","-2.054040552"
"5761","2001","X000689","-1.834934096"
"5762","2002","X000689","1.078524072"
"5763","2003","X000689","1.181535992"
"5764","2004","X000689","1.312472964"
"5765","2005","X000689","1.509665943"
"5766","2006","X000689","#DIV/0!"
"5767","2007","X000689","#DIV/0!"
"5768","2008","X000689","#DIV/0!"
"5769","2009","X000689","#DIV/0!"
"5770","2010","X000689","#DIV/0!"
"5771","2011","X000689","#DIV/0!"
"5772","2012","X000689","#DIV/0!"
"5773","2013","X000689","#DIV/0!"
"5774","2014","X000689","#DIV/0!"
"5775","2015","X000689","#DIV/0!"
"5776","1995","X000690",NA
"5777","1996","X000690",NA
"5778","1997","X000690",NA
"5779","1998","X000690",NA
"5780","1999","X000690",NA
"5781","2000","X000690","-3.746341792"
"5782","2001","X000690","-3.236929617"
"5783","2002","X000690","-3.178678898"
"5784","2003","X000690","-3.543446093"
"5785","2004","X000690","-3.754055102"
"5786","2005","X000690","-3.888598329"
"5787","2006","X000690","-3.702846834"
"5788","2007","X000690","-3.174820405"
"5789","2008","X000690","-3.19959327"
"5790","2009","X000690","-3.192298911"
"5791","2010","X000690","-3.288579741"
"5792","2011","X000690","-3.471537732"
"5793","2012","X000690","-3.479225338"
"5794","2013","X000690","-3.475817419"
"5795","2014","X000690","-2.785218426"
"5796","2015","X000690","-2.612093526"
"5797","1995","X000691",NA
"5798","1996","X000691",NA
"5799","1997","X000691",NA
"5800","1998","X000691",NA
"5801","1999","X000691",NA
"5802","2000","X000691","-4.554305239"
"5803","2001","X000691","-3.62072879"
"5804","2002","X000691","-3.643729123"
"5805","2003","X000691","-3.742211507"
"5806","2004","X000691","-3.711807844"
"5807","2005","X000691","-3.459765332"
"5808","2006","X000691","-3.48344668"
"5809","2007","X000691","-2.780213359"
"5810","2008","X000691","-2.764353355"
"5811","2009","X000691","-1.605609005"
"5812","2010","X000691","-1.561651462"
"5813","2011","X000691","-1.435860505"
"5814","2012","X000691","-1.435699303"
"5815","2013","X000691","-1.443739402"
"5816","2014","X000691","-2.315085801"
"5817","2015","X000691","-2.308496376"
"5818","1995","X000692",NA
"5819","1996","X000692",NA
"5820","1997","X000692",NA
"5821","1998","X000692",NA
"5822","1999","X000692",NA
"5823","2000","X000692","-4.315023989"
"5824","2001","X000692","-4.423508581"
"5825","2002","X000692","-3.944612767"
"5826","2003","X000692","-3.751083375"
"5827","2004","X000692","-3.773398649"
"5828","2005","X000692","-3.699513859"
"5829","2006","X000692","-3.464801614"
"5830","2007","X000692","-3.485242012"
"5831","2008","X000692","-3.634715825"
"5832","2009","X000692","-4.012953142"
"5833","2010","X000692","-3.514883053"
"5834","2011","X000692","-3.559130127"
"5835","2012","X000692","-3.730420492"
"5836","2013","X000692","-3.821537621"
"5837","2014","X000692","-4.403096225"
"5838","2015","X000692","-5.147060731"
"5839","1995","X000693",NA
"5840","1996","X000693",NA
"5841","1997","X000693",NA
"5842","1998","X000693",NA
"5843","1999","X000693",NA
"5844","2000","X000693","-3.494542397"
"5845","2001","X000693","-3.52486911"
"5846","2002","X000693","-3.535923477"
"5847","2003","X000693","-3.191987381"
"5848","2004","X000693","-3.023077133"
"5849","2005","X000693","-2.809256933"
"5850","2006","X000693","-2.556500441"
"5851","2007","X000693","-2.368794268"
"5852","2008","X000693","-1.924554344"
"5853","2009","X000693","-2.168710556"
"5854","2010","X000693","-2.440732317"
"5855","2011","X000693","-2.463100576"
"5856","2012","X000693","-2.033921167"
"5857","2013","X000693","-1.47785695"
"5858","2014","X000693","-1.228023175"
"5859","2015","X000693","-1.044065885"
"5860","1995","X000695",NA
"5861","1996","X000695",NA
"5862","1997","X000695",NA
"5863","1998","X000695",NA
"5864","1999","X000695",NA
"5865","2000","X000695","-7.156962751"
"5866","2001","X000695","-7.141187546"
"5867","2002","X000695","-3.140672052"
"5868","2003","X000695","-2.588369672"
"5869","2004","X000695","-2.662277787"
"5870","2005","X000695","-2.709484229"
"5871","2006","X000695","-2.68870137"
"5872","2007","X000695","-2.627159271"
"5873","2008","X000695","-3.336239431"
"5874","2009","X000695","-3.801654707"
"5875","2010","X000695","-3.049651167"
"5876","2011","X000695","-3.012152972"
"5877","2012","X000695","-3.319097356"
"5878","2013","X000695","-3.575520025"
"5879","2014","X000695","-3.742138531"
"5880","2015","X000695","-3.998557339"
"5881","1995","X000697",NA
"5882","1996","X000697",NA
"5883","1997","X000697",NA
"5884","1998","X000697",NA
"5885","1999","X000697",NA
"5886","2000","X000697","-3.183789662"
"5887","2001","X000697","-3.010134589"
"5888","2002","X000697","-2.641029736"
"5889","2003","X000697","-2.549682118"
"5890","2004","X000697","-2.910070506"
"5891","2005","X000697","-3.259267083"
"5892","2006","X000697","-2.673094178"
"5893","2007","X000697","-2.558744758"
"5894","2008","X000697","-2.537991077"
"5895","2009","X000697","-2.496191083"
"5896","2010","X000697","-2.364860762"
"5897","2011","X000697","-2.250925579"
"5898","2012","X000697","-2.907049801"
"5899","2013","X000697","-2.070708822"
"5900","2014","X000697","-1.763286272"
"5901","2015","X000697","-1.827797666"
"5902","1995","X000698",NA
"5903","1996","X000698",NA
"5904","1997","X000698",NA
"5905","1998","X000698",NA
"5906","1999","X000698",NA
"5907","2000","X000698","-5.197615054"
"5908","2001","X000698","-3.830819392"
"5909","2002","X000698","-3.756479406"
"5910","2003","X000698","-3.531791876"
"5911","2004","X000698","-3.511184848"
"5912","2005","X000698","-3.509131276"
"5913","2006","X000698","-4.751021181"
"5914","2007","X000698","-4.336105374"
"5915","2008","X000698","-4.669809055"
"5916","2009","X000698","-4.492043092"
"5917","2010","X000698","-4.101974588"
"5918","2011","X000698","-4.101228191"
"5919","2012","X000698","-4.268770708"
"5920","2013","X000698","-3.637885042"
"5921","2014","X000698","-3.490467476"
"5922","2015","X000698","-3.419686222"
"5923","1995","X000699",""
"5924","1996","X000699",""
"5925","1997","X000699",""
"5926","1998","X000699",""
"5927","1999","X000699",""
"5928","2000","X000699","-3.533752997"
"5929","2001","X000699","-3.564118398"
"5930","2002","X000699","-3.619819121"
"5931","2003","X000699","-4.331224534"
"5932","2004","X000699","-2.794734259"
"5933","2005","X000699","-2.813865465"
"5934","2006","X000699","-1.20442945"
"5935","2007","X000699","-1.246984799"
"5936","2008","X000699","-1.219966546"
"5937","2009","X000699","-1.069876868"
"5938","2010","X000699","-1.168666657"
"5939","2011","X000699","#DIV/0!"
"5940","2012","X000699","#DIV/0!"
"5941","2013","X000699","#DIV/0!"
"5942","2014","X000699","#DIV/0!"
"5943","2015","X000699","#DIV/0!"
"5944","1995","X000700",NA
"5945","1996","X000700",NA
"5946","1997","X000700",NA
"5947","1998","X000700",NA
"5948","1999","X000700",NA
"5949","2000","X000700","-3.790345414"
"5950","2001","X000700","-3.374646187"
"5951","2002","X000700","-3.500750241"
"5952","2003","X000700","-3.50668295"
"5953","2004","X000700","-3.980055862"
"5954","2005","X000700","-3.471427942"
"5955","2006","X000700","-3.198570764"
"5956","2007","X000700","-3.196685469"
"5957","2008","X000700","-3.524465099"
"5958","2009","X000700","-4.198860953"
"5959","2010","X000700","-4.314780187"
"5960","2011","X000700","-4.649075887"
"5961","2012","X000700","-4.848863752"
"5962","2013","X000700","-4.454274241"
"5963","2014","X000700","-4.042376198"
"5964","2015","X000700","-3.768086057"
"5965","1995","X000701",NA
"5966","1996","X000701",NA
"5967","1997","X000701",NA
"5968","1998","X000701",NA
"5969","1999","X000701",NA
"5970","2000","X000701","-3.31698305"
"5971","2001","X000701","-3.361609904"
"5972","2002","X000701","-3.252850139"
"5973","2003","X000701","-3.959647923"
"5974","2004","X000701","-4.34807087"
"5975","2005","X000701","-4.218179462"
"5976","2006","X000701","-4.12568231"
"5977","2007","X000701","-4.556508958"
"5978","2008","X000701","-4.555622865"
"5979","2009","X000701","-4.908552818"
"5980","2010","X000701","-4.618044947"
"5981","2011","X000701","-5.086834414"
"5982","2012","X000701","-5.167833692"
"5983","2013","X000701","-5.169833416"
"5984","2014","X000701","-5.172686696"
"5985","2015","X000701","-4.675915048"
"5986","1995","X000702",NA
"5987","1996","X000702",NA
"5988","1997","X000702",NA
"5989","1998","X000702",NA
"5990","1999","X000702",NA
"5991","2000","X000702","-3.768187631"
"5992","2001","X000702","-3.956408232"
"5993","2002","X000702","-3.480210189"
"5994","2003","X000702","-3.12685773"
"5995","2004","X000702","-3.108313037"
"5996","2005","X000702","-2.063765348"
"5997","2006","X000702","-2.214256716"
"5998","2007","X000702","-2.265939547"
"5999","2008","X000702","-2.240324847"
"6000","2009","X000702","-2.217087843"
"6001","2010","X000702","-2.741354921"
"6002","2011","X000702","-2.749208677"
"6003","2012","X000702","-2.78861717"
"6004","2013","X000702","-4.099855086"
"6005","2014","X000702","-3.651263738"
"6006","2015","X000702","-3.616688844"
"6007","1995","X000703",NA
"6008","1996","X000703",NA
"6009","1997","X000703",NA
"6010","1998","X000703",NA
"6011","1999","X000703",NA
"6012","2000","X000703","-2.573265822"
"6013","2001","X000703","-2.540330779"
"6014","2002","X000703","-2.575039337"
"6015","2003","X000703","-3.352097174"
"6016","2004","X000703","-2.91886669"
"6017","2005","X000703","-3.095114879"
"6018","2006","X000703","-3.171651751"
"6019","2007","X000703","-3.405814477"
"6020","2008","X000703","-3.605633047"
"6021","2009","X000703","-3.393179781"
"6022","2010","X000703","-3.360749167"
"6023","2011","X000703","-3.263726706"
"6024","2012","X000703","-2.429602176"
"6025","2013","X000703","-2.437802187"
"6026","2014","X000703","-2.533026183"
"6027","2015","X000703","-2.735600172"
"6028","1995","X000705",NA
"6029","1996","X000705",NA
"6030","1997","X000705",NA
"6031","1998","X000705",NA
"6032","1999","X000705",NA
"6033","2000","X000705","-6.838889417"
"6034","2001","X000705","-5.985155071"
"6035","2002","X000705","-4.546738951"
"6036","2003","X000705","-4.041457996"
"6037","2004","X000705","-3.978369087"
"6038","2005","X000705","-3.693328238"
"6039","2006","X000705","-4.01101297"
"6040","2007","X000705","-4.220523093"
"6041","2008","X000705","-4.356612878"
"6042","2009","X000705","-4.503617368"
"6043","2010","X000705","-4.865483977"
"6044","2011","X000705","-4.721165177"
"6045","2012","X000705","-4.889286344"
"6046","2013","X000705","-4.520690849"
"6047","2014","X000705","-4.341670006"
"6048","2015","X000705","-4.487818085"
"6049","1995","X000707",NA
"6050","1996","X000707",NA
"6051","1997","X000707",NA
"6052","1998","X000707",NA
"6053","1999","X000707",NA
"6054","2000","X000707","-3.222749513"
"6055","2001","X000707","-3.280056564"
"6056","2002","X000707","-3.163857325"
"6057","2003","X000707","-3.497008797"
"6058","2004","X000707","-3.637212117"
"6059","2005","X000707","-3.672393181"
"6060","2006","X000707","-4.263907832"
"6061","2007","X000707","-3.767436012"
"6062","2008","X000707","-3.591608178"
"6063","2009","X000707","-3.220503477"
"6064","2010","X000707","-3.20090742"
"6065","2011","X000707","-3.201529739"
"6066","2012","X000707","-3.457395573"
"6067","2013","X000707","-3.316281876"
"6068","2014","X000707","-2.979559036"
"6069","2015","X000707","-2.979904234"
"6070","1995","X000708",NA
"6071","1996","X000708",NA
"6072","1997","X000708",NA
"6073","1998","X000708",NA
"6074","1999","X000708",NA
"6075","2000","X000708","-3.72814269"
"6076","2001","X000708","-3.700210897"
"6077","2002","X000708","-3.798970757"
"6078","2003","X000708","-4.566688896"
"6079","2004","X000708","-5.010291298"
