"","LN.5years.","Code","Values"
"166","2013","X000008","-3.178878685"
"167","2014","X000008","-3.130906599"
"168","2015","X000008","-3.205204977"
"169","1995","X000009",NA
"170","1996","X000009",NA
"171","1997","X000009",NA
"172","1998","X000009",NA
"173","1999","X000009",NA
"174","2000","X000009","-2.988244939"
"175","2001","X000009","-3.068036071"
"176","2002","X000009","-3.074791225"
"177","2003","X000009","-3.049178203"
"178","2004","X000009","-5.597193899"
"179","2005","X000009","-4.946513245"
"180","2006","X000009","-4.59281886"
"181","2007","X000009","-4.152768004"
"182","2008","X000009","-3.751027787"
"183","2009","X000009","-3.869347236"
"184","2010","X000009","-3.946077249"
"185","2011","X000009","-4.395681321"
"186","2012","X000009","-4.233271857"
"187","2013","X000009","-3.958274214"
"188","2014","X000009","-3.900584201"
"189","2015","X000009","-4.535236947"
"190","1995","X000010",NA
"191","1996","X000010",NA
"192","1997","X000010",NA
"193","1998","X000010",NA
"194","1999","X000010",NA
"195","2000","X000010","-2.739475175"
"196","2001","X000010","-2.768778013"
"197","2002","X000010","-2.767452529"
"198","2003","X000010","-2.721990382"
"199","2004","X000010","-2.869118385"
"200","2005","X000010","-3.649719555"
"201","2006","X000010","-2.435132734"
"202","2007","X000010","-2.269056818"
"203","2008","X000010","-2.295040138"
"204","2009","X000010","-2.231230497"
"205","2010","X000010","-2.22291765"
"206","2011","X000010","-2.88550231"
"207","2012","X000010","-3.178390732"
"208","2013","X000010","-3.294680652"
"209","2014","X000010","-4.20806515"
"210","2015","X000010","-2.737221868"
"211","1995","X000011",NA
"212","1996","X000011",NA
"213","1997","X000011",NA
"214","1998","X000011",NA
"215","1999","X000011",NA
"216","2000","X000011","-3.240064033"
"217","2001","X000011","-3.509487688"
"218","2002","X000011","-3.32849952"
"219","2003","X000011","-4.058081219"
"220","2004","X000011","-3.638698704"
"221","2005","X000011","-3.615251045"
"222","2006","X000011","-3.647075056"
"223","2007","X000011","-3.213521036"
"224","2008","X000011","-2.971147941"
"225","2009","X000011","-3.096686776"
"226","2010","X000011","-3.092610751"
"227","2011","X000011","-3.026398097"
"228","2012","X000011","-2.888310047"
"229","2013","X000011","-3.006218607"
"230","2014","X000011","-3.249680196"
"231","2015","X000011","-3.21048788"
"232","1995","X000012",NA
"233","1996","X000012",NA
"234","1997","X000012",NA
"235","1998","X000012",NA
"236","1999","X000012",NA
"237","2000","X000012","-2.749165996"
"238","2001","X000012","-2.867411049"
"239","2002","X000012","-2.894765882"
"240","2003","X000012","-2.845294282"
"241","2004","X000012","-2.819984636"
"242","2005","X000012","-4.435621816"
"243","2006","X000012","-4.450131581"
"244","2007","X000012","-4.587736357"
"245","2008","X000012","-4.647585424"
"246","2009","X000012","-4.084655145"
"247","2010","X000012","-3.885892695"
"248","2011","X000012","-3.20476261"
"249","2012","X000012","-3.260413455"
"250","2013","X000012","-2.963521464"
"251","2014","X000012","-3.027624613"
