DamID,LambID,Rank,Sex,BirthWeight,Feed,Shorn,Datebirth,DamAge
293/94,225,Twin,male,5.75,MM,0,19-Aug,8
357/93,226,Twin,male,3.4,MM,0,19-Aug,8
357/93,227,Twin,female,3.23,MM,0,19-Aug,8
76/95,228,Single,female,7.5,MH,1,20-Aug,9
270/95,229,Single,male,6,MM,0,20-Aug,9
388/94,230,Single,male,7.25,MM,1,20-Aug,9
101/95,231,Single,male,6.5,HH,1,20-Aug,9
359/94,232,Twin,male,6.1,MM,1,20-Aug,9
359/94,233,Twin,female,4.5,MM,1,20-Aug,9
559/93,234,Single,female,6.6,MM,1,20-Aug,9
401/94,235,Single,male,6.8,MM,0,20-Aug,9
127/94,236,Single,female,5.75,HH,1,20-Aug,9
114/94,237,Twin,female,4.15,HH,0,20-Aug,9
114/94,238,Twin,female,4.25,HH,0,20-Aug,9
