"","latitude","longitude","country","area","colour"
"29027",51.32149,-0.25851,"United Kingdom","Epsom","clear"
"29044",51.45626,-0.96526,"United Kingdom","Reading","stone"
"29048",53.99434,-1.53978,"United Kingdom","Harrogate","brown"
"29056",54.15336,-4.49255,"Isle of Man","Douglas","blue"
"29063",50.7889,-1.10571,"United Kingdom","Portsmouth","bronze"
"29071",52.33737,-2.05791,"United Kingdom","Bromsgrove","bronze"
"29215",51.65853,-1.5713,"United Kingdom","Faringdon","blue"
"29218",53.48568,-2.10307,"United Kingdom","Ashton-under-Lyne","blue"
"29220",53.10549,-1.54005,"United Kingdom","Cromford","blue"
"29227",51.55691,-0.10601,"United Kingdom","London","green"
"29231",51.37982,-0.07254,"United Kingdom","Addiscombe","black"
"29233",51.57016,-0.00638,"United Kingdom","London","blue"
"29242",51.5204,-0.15653,"United Kingdom","London","blue"
"29253",52.67713,-1.57799,"United Kingdom","Netherseal","blue"
"29254",53.14276,-1.55188,"United Kingdom","Matlock","blue"
"29255",52.91721,-1.23364,"United Kingdom","Chilwell","blue"
"29269",59.93439,30.31321,"Russia","St Petersburg","marble"
"29273",55.95434,-3.11655,"United Kingdom","Edinburgh","blue"
"29286",51.88017,0.55132,"United Kingdom","Braintree","blue"
"29287",51.8788,0.5518,"United Kingdom","Braintree","blue"
"29288",51.855,0.53627,"United Kingdom","Black Notley","blue"
"29289",51.87875,0.55662,"United Kingdom","Braintree","blue"
"29296",52.4787,-1.90769,"United Kingdom","Birmingham","stone"
"29336",52.4346,-1.8936,"United Kingdom","Birmingham","brushed metal"
"29337",50.79039,-1.0776,"United Kingdom","Portsmouth","blue"
"29349",54.51709,36.2423,"Russia","Kaluga","black"
"29354",52.42797,-1.90323,"United Kingdom","Birmingham","blue"
"29363",52.78427,-0.15398,"United Kingdom","Spalding","blue"
"29365",51.06862,-1.79194,"United Kingdom","Salisbury","blue"
"29368",50.92302,-1.34489,"United Kingdom","Southampton","blue"
"29390",40.76551,-73.02287,"United States","Patchogue, NY","blue"
"29392",51.4978,-0.14843,"United Kingdom","London","blue"
"29402",52.92211,-1.20893,"United Kingdom","Beeston, Nottinghamshire","blue"
"29412",51.50081,-0.05202,"United Kingdom","London","brown"
"29413",52.47219,-1.97069,"United Kingdom","Smethwick","green"
"29433",52.64305,-2.45197,"United Kingdom","Madeley","blue"
"29438",52.63386,-2.45032,"United Kingdom","Madeley","blue"
"29461",51.48108,-3.17825,"United Kingdom","Cardiff","blue"
"29462",53.49656,-1.46185,"United Kingdom","Barnsley","black"
"29463",51.37004,-0.11147,"United Kingdom","Croydon","blue"
"29467",52.95636,0.85268,"United Kingdom","Wells-next-the-Sea","white"
"29470",51.51544,-0.14453,"United Kingdom","London","green"
"29486",52.1908,-1.70774,"United Kingdom","Stratford-upon-Avon","black"
"29488",52.19136,-1.70725,"United Kingdom","Stratford-upon-Avon","black"
"29560",52.29218,-0.59907,"United Kingdom","Rushden","blue"
"29561",52.28714,-0.5917,"United Kingdom","Rushden","blue"
"29566",52.29023,-0.59767,"United Kingdom","Rushden","film cell"
"29591",53.3237,-3.8292,"United Kingdom","Llandudno","film cell"
"29592",52.95496,-1.47489,"United Kingdom","Allestree","film cell"
"29595",51.54441,-0.1284,"United Kingdom","London","film cell"
"29597",51.41165,-0.20828,"United Kingdom","London","film cell"
"29601",55.93588,-3.08847,"United Kingdom","Edinburgh","film cell"
"29615",51.52544,-0.12591,"United Kingdom","London","blue"
"29626",53.76053,-2.70074,"United Kingdom","Preston","blue"
"29634",52.18633,-2.22214,"United Kingdom","Worcester","blue"
"29684",53.83301,-1.5937,"United Kingdom","Leeds","blue"
"29714",53.80685,-1.78098,"United Kingdom","Bradford","blue"
"29725",51.46188,-0.01061,"United Kingdom","London","maroon"
"29755",53.33558,-6.24678,"Ireland","Dublin","brown"
"29759",51.48363,-0.00788,"United Kingdom","London","black"
"29770",50.78406,-1.08205,"United Kingdom","Portsmouth","blue"
"29771",50.78338,-1.06743,"United Kingdom","Portsmouth","blue"
"29790",51.54385,-2.91674,"United Kingdom","Newport, Gwent","brass"
"29794",51.523,-0.08617,"United Kingdom","London","black"
"29807",53.46447,-2.23339,"United Kingdom","Manchester","blue"
"29854",52.47485,-1.88627,"United Kingdom","Birmingham","bronze"
"29861",51.7602,-1.26641,"United Kingdom","Oxford","blue"
"29864",51.7325,-1.22783,"United Kingdom","Oxford","blue"
"29865",40.62633,14.37783,"Italy","Sorrento","stone"
"29870",53.76895,-2.40922,"United Kingdom","Rishton","blue"
"29885",52.92008,-1.47658,"United Kingdom","Derby","film cell"
"29891",51.33703,1.41098,"United Kingdom","Ramsgate","blue"
"29892",51.32936,1.41525,"United Kingdom","Ramsgate","blue"
"29912",51.45589,-0.94783,"United Kingdom","Reading","brown"
"29915",53.98134,-2.10589,"United Kingdom","Gargrave","blue"
"29926",54.3334,-2.751,"United Kingdom","Kendal","green"
"29997",51.5374,-0.18772,"United Kingdom","London",""
"29998",51.86335,-1.56972,"United Kingdom","Ascott-under-Wychwood","blue"
"29999",52.51264,-1.87425,"United Kingdom","Birmingham","bronze"
"30003",51.57052,-0.14724,"United Kingdom","London","blue"
"30004",53.84149,-1.94203,"United Kingdom","Oakworth","film cell"
"30078",47.31878,5.03357,"France","Dijon","stone"
"30080",48.85592,2.35523,"France","Paris","white"
"30099",51.48989,-0.03049,"United Kingdom","London","bronze"
"30136",56.05946,-3.23137,"United Kingdom","Burntisland","bronze"
"30164",48.8572,2.33514,"France","Paris","white"
"30174",53.85405,-9.29918,"Ireland","Castlebar","stone"
"30198",50.11571,8.65915,"Germany","Frankfurt","bronze"
"30205",48.85957,2.2971,"France","Paris","marble"
"30217",48.84979,2.33485,"France","Paris","marble"
"30233",48.87145,2.30261,"France","Paris","marble"
"30239",45.75912,4.8361,"France","Lyon","white"
"30264",52.73261,-2.84293,"United Kingdom","Shrewsbury","brushed metal"
"30288",18.43463,-77.20188,"Jamaica","St Ann's Bay","brushed metal"
"30292",52.42997,-1.93563,"United Kingdom","Birmingham","stone"
"30400",40.74183,-73.99028,"United States","New York, NY","red"
"30403",48.89691,2.09262,"France","Paris","white"
"30414",40.64898,14.61192,"Italy","Ravello","white"
"30423",40.63285,14.59752,"Italy","Amalfi","marble"
"30425",40.63313,14.60665,"Italy","Atrani","white"
"30445",52.91276,-0.64269,"United Kingdom","Grantham","blue"
"30459",48.85395,2.34287,"France","Paris","clear"
"30462",50.71907,-1.88033,"United Kingdom","Bournemouth","green"
"30499",53.34023,-6.31488,"Ireland","Dublin",""
"30501",40.80592,14.34742,"Italy","Ercolano","bronze"
"30503",52.99167,-6.98317,"Ireland","Athy",""
"30504",51.4975,-0.13393,"United Kingdom","London","brushed metal"
"30508",52.05605,-0.85405,"United Kingdom","Milton Keynes","black"
"30513",40.84464,14.24892,"Italy","Naples","marble"
"30533",38.94125,-77.02966,"United States","Washington, DC","bronze"
"30538",43.6655,-79.38828,"Canada","Toronto, ON","purple"
"30539",43.67962,-79.41407,"Canada","Toronto, ON","blue"
"30560",54.57535,-5.94514,"United Kingdom","Belfast","blue"
"30581",53.64432,-1.78169,"United Kingdom","Huddersfield","film cell"
"30587",53.56785,-8.25599,"Ireland","Athleague","purple, white and green"
"30589",53.275,-9.04903,"Ireland","Galway",""
"30591",40.54727,14.24344,"Italy","Capri","brass"
"30594",40.55087,14.24309,"Italy","Capri","stone"
"30597",40.55517,14.21897,"Italy","Anacapri","white"
"30599",40.55723,14.22479,"Italy","Anacapri","bronze"
"30602",40.62532,14.37309,"Italy","Sorrento","marble"
"30605",40.62536,14.37272,"Italy","Sorrento","marble"
"30606",52.48365,13.3336,"Germany","Berlin","white"
"30608",40.62706,14.37431,"Italy","Sorrento","stone"
"30614",51.59003,-0.28333,"United Kingdom","London","blue"
"30616",51.59235,-0.14957,"United Kingdom","London","blue"
"30617",40.62635,14.37497,"Italy","Sorrento","marble"
"30619",40.62648,14.37619,"Italy","Sorrento","stone"
"30625",40.74448,-73.99678,"United States","New York, NY","brown"
"30626",40.71774,-74.00901,"United States","New York, NY","gold"
"30628",48.8509,2.34112,"France","Paris","white"
"30632",51.56887,-1.23844,"United Kingdom","Blewbury","blue"
"30634",51.52681,-0.30652,"United Kingdom","London","blue"
"30641",51.73528,-1.21969,"United Kingdom","Oxford","blue"
"30648",53.35254,-6.26259,"Ireland","Dublin",""
"30650",51.68491,-4.20433,"United Kingdom","Pwll","blue"
"30651",51.646,-1.27015,"United Kingdom","Sutton Courtenay","blue"
"30676",50.85518,0.55291,"United Kingdom","Hastings","blue"
"30677",52.20486,0.11612,"United Kingdom","Cambridge","blue"
"30678",53.4659,-2.2352,"United Kingdom","Manchester","blue"
"30680",-42.89719,147.33198,"Australia","Hobart, Tasmania",""
"30697",50.80192,-0.49473,"United Kingdom","Rustington","black"
"30700",52.46887,-1.91319,"United Kingdom","Birmingham","blue"
"30702",52.49641,-1.97052,"United Kingdom","Smethwick","blue"
"30703",52.49762,-1.96213,"United Kingdom","Smethwick","blue"
"30713",53.37554,-6.29572,"Ireland","Dublin","stone"
"30732",53.02337,-1.4975,"United Kingdom","Belper","blue"
"30767",55.94702,-3.18719,"United Kingdom","Edinburgh","bronze"
"30786",51.52501,-0.15947,"United Kingdom","London","blue"
"30787",51.51783,-0.10567,"United Kingdom","London","red"
"30802",51.1697,0.25082,"United Kingdom","Southborough","green"
"30804",51.15533,0.264,"United Kingdom","Southborough","green"
"30805",56.11172,-3.16303,"United Kingdom","Kirkcaldy","brown"
"30806",52.67975,-9.64538,"Ireland","Kilkee","white"
"30810",52.47962,-1.90722,"United Kingdom","Birmingham","bronze"
"30863",43.52733,5.44709,"France","Aix-en-Provence","stone"
"30867",37.78714,-122.4165,"United States","San Francisco, CA","brown"
"30971",51.07619,-2.64088,"United Kingdom","Keinton Mandeville","blue"
"30984",50.6087,-2.44882,"United Kingdom","Weymouth","grey"
"31004",50.60837,-2.44943,"United Kingdom","Weymouth","bronze"
"31018",52.54286,-0.99698,"United Kingdom","Kibworth Harcourt","blue"
"31060",51.51515,-0.14979,"United Kingdom","London","green"
"31061",54.27034,-0.40044,"United Kingdom","Scarborough","blue"
"31087",51.41974,-0.28905,"United Kingdom","Kingston Upon Thames","brass"
"31117",51.49794,-0.17565,"United Kingdom","London","blue"
"31118",51.49794,-0.17575,"United Kingdom","London","blue"
"31175",51.58599,-0.11227,"United Kingdom","London","white"
"31179",53.34082,-6.25545,"Ireland","Dublin","purple, white and green"
"31185",54.04917,-2.79778,"United Kingdom","Lancaster","marble"
"31237",51.45244,-2.60238,"United Kingdom","Bristol","bronze"
"31238",51.48059,-2.61208,"United Kingdom","Bristol","white"
"31276",50.72879,-1.8594,"United Kingdom","Bournemouth","blue"
"31303",51.76459,-1.25884,"United Kingdom","Oxford","blue"
"31305",0,-1.80273,"United Kingdom","Bradford","blue"
"31315",52.38437,4.88357,"Netherlands","Amsterdam","marble"
"31321",51.42936,-0.06,"United Kingdom","London","blue"
"31361",53.13808,-1.55805,"United Kingdom","Matlock","blue"
"31378",53.79358,-1.74595,"United Kingdom","Bradford","blue"
"31390",53.02414,-2.16979,"United Kingdom","Stoke-on-Trent","blue"
"31394",51.48258,-0.6075,"United Kingdom","Windsor","bronze"
"31412",-21.14959,148.91799,"Australia","Mirani, Queensland",""
"31415",53.29637,-3.835,"United Kingdom","Deganwy","blue"
"31432",51.5289,-0.30825,"United Kingdom","London","green"
"31435",51.54689,-0.3446,"United Kingdom","London","blue"
"31510",53.34258,-6.25044,"Ireland","Dublin","white"
"31514",51.61382,-0.33047,"United Kingdom","London",""
"31543",52.23328,21.05675,"Poland","Warsaw","stone"
"31559",52.92455,-1.21232,"United Kingdom","Beeston, Nottinghamshire","blue"
"31560",52.92907,-1.21792,"United Kingdom","Beeston, Nottinghamshire","blue"
"31565",52.93035,-1.27403,"United Kingdom","Stapleford","blue"
"31571",53.70412,-6.54041,"Ireland","Slane","stone"
"31573",48.88591,2.30115,"France","Paris","white"
"31574",43.76456,11.25997,"Italy","Florence","marble"
"31583",-33.87897,151.19977,"Australia","Sydney, New South Wales","red and black"
"31593",53.4464,-2.75763,"United Kingdom","St Helens","grey"
"31599",52.4998,-1.98994,"United Kingdom","Smethwick","blue"
"31613",51.61312,-0.65245,"United Kingdom","Beaconsfield",""
"31620",53.49015,-2.07753,"United Kingdom","Ashton-under-Lyne","blue"
"31631",51.50761,-0.02449,"United Kingdom","London","marble"
"31650",52.48009,-1.9037,"United Kingdom","Birmingham","bronze"
"31661",54.59444,-5.93103,"United Kingdom","Belfast","brown"
"31678",51.51447,-0.30245,"United Kingdom","London","blue"
"31695",34.16372,-114.30423,"United States","Earp, CA","brown"
"31697",34.1187,-114.50849,"United States","Vidal, CA","brown"
"31711",51.57715,-0.23539,"United Kingdom","London","film cell"
"31713",52.47026,-1.97793,"United Kingdom","Smethwick","blue"
"31718",51.46752,-0.02083,"United Kingdom","London","film cell"
"31738",51.4608,-0.21258,"United Kingdom","London","blue"
"31739",51.46535,-0.22664,"United Kingdom","London","blue"
"31740",51.46306,-0.22748,"United Kingdom","London","blue"
"31741",53.83108,-1.57236,"United Kingdom","Leeds","blue"
"31852",53.9558,-1.09105,"United Kingdom","York","black"
"31865",54.58032,-1.33209,"United Kingdom","Stockton-on-Tees",""
"31875",51.51631,-0.41952,"United Kingdom","London","green"
"31910",51.51087,-0.1395,"United Kingdom","London","black"
"31956",51.49752,-0.16686,"United Kingdom","London","blue"
"31999",51.45906,-0.9771,"United Kingdom","Reading","blue"
"32003",52.93035,0.76006,"United Kingdom","Burnham Thorpe","bronze"
"32013",54.95557,-1.5976,"United Kingdom","Gateshead","blue"
"32014",54.9555,-1.61375,"United Kingdom","Gateshead","blue"
"32024",40.80561,-73.96668,"United States","New York, NY","bronze"
"32032",51.89449,-8.47781,"Ireland","Cork","bronze"
"32041",53.6236,-1.88082,"United Kingdom","Slaithwaite","green"
"32056",51.54616,-0.18159,"United Kingdom","London","film cell"
"32059",37.26585,-97.76561,"United States","Argonia, KS",""
"32061",42.10306,-72.58479,"United States","Springfield, MA","bronze"
"32067",50.7169,-1.88191,"United Kingdom","Bournemouth","blue"
"32073",43.04294,-87.91606,"United States","Milwaukee, WI","brown"
"32075",39.949,-75.14985,"United States","Philadelphia, PA","bronze"
"32082",53.96361,-1.08654,"United Kingdom","York","bronze"
"32095",52.42128,-1.96112,"United Kingdom","Birmingham","blue"
"32106",52.93587,-9.39513,"Ireland","Liscannor",""
"32107",51.83009,-8.32437,"Ireland","Ringaskiddy","grey"
"32110",38.64123,-75.61104,"United States","Seaford, DE",""
"32119",36.86882,-111.59592,"United States","Lees Ferry, AZ","bronze"
"32124",33.9323,-86.79589,"United States","Blount Springs, AL","black"
"32129",53.40115,-2.99421,"United Kingdom","Liverpool","brown"
"32131",33.49436,-88.43013,"United States","Columbus, MS","green"
"32132",29.95789,-90.06434,"United States","New Orleans, LA","bronze"
"32133",52.467,-1.92889,"United Kingdom","Birmingham","blue"
"32134",50.4399,-3.69359,"United Kingdom","Dartington","grey"
"32183",53.6586,-1.54731,"United Kingdom","Horbury","blue"
"32185",53.65776,-1.57654,"United Kingdom","Horbury","blue"
"32192",51.56996,-0.1439,"United Kingdom","London","black"
"32208",51.48217,-0.6071,"United Kingdom","Windsor","bronze"
"32219",39.94806,-75.15284,"United States","Philadelphia, PA","bronze"
"32229",52.48201,-1.90104,"United Kingdom","Birmingham","black"
"32262",51.51014,-0.1395,"United Kingdom","London","black"
"32264",51.51435,-0.14892,"United Kingdom","London","blue"
"32304",51.56528,-0.02116,"United Kingdom","London","black"
"32307",51.504,-0.09014,"United Kingdom","London","blue"
"32316",53.42153,-2.98525,"United Kingdom","Liverpool","grey"
"32317",53.42989,-2.98512,"United Kingdom","Liverpool","brown"
"32331",51.51044,-0.12981,"United Kingdom","London","grey"
"32332",54.12975,-2.7711,"United Kingdom","Carnforth","film cell"
"32334",55.94635,-4.92445,"United Kingdom","Dunoon","film cell"
"32335",51.52119,-0.33562,"United Kingdom","London","film cell"
"32338",53.3241,-6.24252,"Ireland","Dublin","purple, white and green"
"32342",52.28198,-1.59095,"United Kingdom","Warwick","bronze"
"32350",54.624,-1.631,"United Kingdom","Shildon","red"
"32355",42.37599,-72.51483,"United States","Amherst, MA","bronze"
"32356",42.37601,-72.52088,"United States","Amherst, MA","brown"
"32357",53.76557,-0.35049,"United Kingdom","Hull","blue"
"32381",54.97461,-1.6086,"United Kingdom","Newcastle upon Tyne","black"
"32384",54.97444,-1.60872,"United Kingdom","Newcastle upon Tyne","black"
"32385",54.96901,-1.61715,"United Kingdom","Newcastle upon Tyne","black"
"32403",53.34882,-6.2665,"Ireland","Dublin","blue"
"32404",52.41111,-1.77103,"United Kingdom","Solihull","bronze"
"32409",54.96904,-1.62009,"United Kingdom","Newcastle upon Tyne","black"
"32410",54.96972,-1.61942,"United Kingdom","Newcastle upon Tyne","black"
"32441",53.34449,-6.25856,"Ireland","Dublin","blue"
"32442",51.37806,-2.3017,"United Kingdom","Bath","blue"
"32446",55.31379,-1.88551,"United Kingdom","Morpeth","blue"
"32447",51.39432,0.52742,"United Kingdom","Chatham","blue"
"32449",51.35911,-1.62597,"United Kingdom","Marlborough","blue"
"32452",53.85369,-1.91557,"United Kingdom","Keighley","blue"
"32454",54.53621,-1.55396,"United Kingdom","Darlington","blue"
"32463",55.94053,-3.21028,"United Kingdom","Edinburgh","grey"
"32464",54.96916,-1.62468,"United Kingdom","Newcastle upon Tyne","grey"
"32472",51.44905,-2.60776,"United Kingdom","Bristol","grey"
"32485",51.50797,0.1381,"United Kingdom","London","red and black"
"32488",51.49762,-0.17424,"United Kingdom","London","red and black"
"32501",50.82214,-0.15257,"United Kingdom","Brighton","blue"
"32502",52.24462,0.71583,"United Kingdom","Bury St Edmunds","blue"
"32508",51.40641,-0.33831,"United Kingdom","London","blue"
"32539",52.48236,-1.90029,"United Kingdom","Birmingham","white"
"32576",50.36096,-4.10963,"United Kingdom","Plymouth","black"
"32594",56.34589,-2.80651,"United Kingdom","St Andrews","film cell"
"32595",55.86758,-4.27542,"United Kingdom","Glasgow",""
"32605",51.65995,0.06392,"United Kingdom","Loughton","blue"
"32610",52.4135,-1.77554,"United Kingdom","Solihull","bronze"
"32614",51.87693,0.89432,"United Kingdom","Colchester","blue"
"32662",53.74954,-2.48572,"United Kingdom","Blackburn","film cell"
"32674",52.18976,-2.22034,"United Kingdom","Worcester","bronze"
"32675",52.18972,-2.22032,"United Kingdom","Worcester","bronze"
"32729",53.44378,-2.28359,"United Kingdom","Manchester",""
"32730",53.43158,-2.23545,"United Kingdom","Manchester","black"
"32732",51.50411,-0.19414,"United Kingdom","London","blue"
"32737",53.48423,-2.24396,"United Kingdom","Manchester","black"
"32738",53.54957,-2.62471,"United Kingdom","Wigan","blue"
"32739",51.53559,-0.10383,"United Kingdom","London","green"
"32744",33.24443,-97.49974,"United States","Decatur, TX","black"
"32755",51.46972,-2.58271,"United Kingdom","Bristol","film cell"
"32756",51.47955,-2.59356,"United Kingdom","Bristol","film cell"
"32759",51.53757,-0.18988,"United Kingdom","London","green"
"32766",53.51092,-2.15741,"United Kingdom","Oldham","blue"
"32769",52.75205,0.39452,"United Kingdom","King's Lynn","bronze"
"32770",52.7528,0.39387,"United Kingdom","King's Lynn","bronze"
"32782",51.9966,-0.7431,"United Kingdom","Bletchley","brown"
"32788",52.68339,-1.8308,"United Kingdom","Lichfield","black"
"32789",52.68344,-1.833,"United Kingdom","Lichfield","bronze"
"32801",52.68172,-1.82914,"United Kingdom","Lichfield","blue"
"32806",42.35207,-71.06677,"United States","Boston, MA","bronze"
"32857",51.51151,-0.12942,"United Kingdom","London","film cell"
"32858",53.45575,-2.74152,"United Kingdom","St Helens","film cell"
"32859",51.52074,-0.10858,"United Kingdom","London","film cell"
"32868",51.7548,-1.24965,"United Kingdom","Oxford","black"
"32888",55.75542,-4.91634,"United Kingdom","Millport","film cell"
"32899",51.4065,-0.02873,"United Kingdom","Beckenham","gold"
"32906",51.48335,-2.54918,"United Kingdom","Bristol","stone"
"32909",51.22945,-2.32269,"United Kingdom","Frome","black"
"32928",38.93097,-77.07125,"United States","Washington, DC","bronze"
"32951",59.92621,10.73121,"Norway","Oslo","blue"
"32957",51.4623,-0.14461,"United Kingdom","London","blue"
"32963",51.51663,-0.14597,"United Kingdom","London","green"
"32985",57.47808,-4.22319,"United Kingdom","Inverness","blue"
"32995",51.75108,-1.2503,"United Kingdom","Oxford","bronze"
"33002",47.16711,0.2378,"France","Chinon","brown"
"33006",45.4415,10.99611,"Italy","Verona","grey"
"33013",45.76631,10.80855,"Italy","Malcesine","bronze"
"33042",52.48702,-1.91263,"United Kingdom","Birmingham","green"
"33044",52.47989,-1.90444,"United Kingdom","Birmingham","brown"
"33056",52.10554,-1.18746,"United Kingdom","Sulgrave","black"
"33061",52.52078,-1.99871,"United Kingdom","West Bromwich","blue"
"33063",52.43016,-1.93561,"United Kingdom","Birmingham","blue"
"33064",52.4247,-1.93386,"United Kingdom","Birmingham","bronze"
"33066",51.99667,-0.74082,"United Kingdom","Bletchley","brass"
"33068",52.48139,-1.89716,"United Kingdom","Birmingham","blue"
"33073",51.99678,-0.71883,"United Kingdom","Bletchley","white"
"33082",51.66092,-0.27539,"United Kingdom","Borehamwood","film cell"
"33085",51.50712,-0.13414,"United Kingdom","London","brown"
"33088",51.31968,-0.13904,"United Kingdom","Coulsdon","blue"
"33106",51.33922,-0.11883,"United Kingdom","Purley","blue"
"33115",53.39005,-2.58466,"United Kingdom","Warrington","black"
"33120",53.39013,-2.58791,"United Kingdom","Warrington","blue"
"33122",53.38555,-2.59121,"United Kingdom","Warrington","black"
"33154",51.54815,-0.12324,"United Kingdom","London",""
"33155",51.53228,-0.09849,"United Kingdom","London","green"
"33156",51.54096,-0.1212,"United Kingdom","London","green"
"33158",51.53997,-0.11603,"United Kingdom","London","green"
"33161",53.40053,-2.97194,"United Kingdom","Liverpool","black"
"33164",54.96719,-1.60525,"United Kingdom","Gateshead",""
"33168",54.48939,-0.61563,"United Kingdom","Whitby","black"
"33172",51.55244,-0.17308,"United Kingdom","London","blue"
"33173",51.48943,-0.26647,"United Kingdom","London","blue"
"33184",51.5225,-0.16375,"United Kingdom","London","blue"
"33186",52.4749,-1.88431,"United Kingdom","Birmingham","blue"
"33188",53.55214,9.99169,"Germany","Hamburg","black"
"33193",52.62798,1.2975,"United Kingdom","Norwich","blue"
"33210",51.385,0.49769,"United Kingdom","Rochester","red"
"33211",53.40286,-2.96807,"United Kingdom","Liverpool","black"
"33306",52.63097,1.29573,"United Kingdom","Norwich","green"
"33317",51.54673,-0.10298,"United Kingdom","London","green"
"33323",53.41903,-2.99073,"United Kingdom","Liverpool","bronze"
"33326",53.40753,-2.98839,"United Kingdom","Liverpool","black"
"33330",53.39777,-2.97954,"United Kingdom","Liverpool","black"
"33333",53.4843,-2.06376,"United Kingdom","Stalybridge","blue"
"33334",53.49184,-2.03372,"United Kingdom","Stalybridge","blue"
"33335",53.48313,-2.05627,"United Kingdom","Stalybridge","blue"
"33344",53.47863,-2.07316,"United Kingdom","Stalybridge","blue"
"33347",53.48323,-2.05626,"United Kingdom","Stalybridge","blue"
"33348",53.48557,-2.04579,"United Kingdom","Stalybridge","blue"
"33349",53.48561,-2.05682,"United Kingdom","Stalybridge","blue"
"33354",53.49193,-2.03357,"United Kingdom","Stalybridge","blue"
"33355",53.48323,-2.05625,"United Kingdom","Stalybridge","blue"
"33356",53.46524,-1.9855,"United Kingdom","Hollingworth","blue"
"33359",53.4558,-2.01201,"United Kingdom","Mottram in Longdendale","blue"
"33363",53.51875,-2.0461,"United Kingdom","Mossley","blue"
"33364",53.51895,-2.04614,"United Kingdom","Mossley","blue"
"33366",53.44913,-2.08014,"United Kingdom","Hyde","blue"
"33368",53.44743,-2.07346,"United Kingdom","Hyde","blue"
"33373",53.46487,-2.07833,"United Kingdom","Hyde","blue"
"33378",53.478,-2.08645,"United Kingdom","Dukinfield","blue"
"33382",53.47772,-2.09226,"United Kingdom","Dukinfield","blue"
"33385",53.47425,-2.07169,"United Kingdom","Dukinfield","blue"
"33387",53.47947,-2.14818,"United Kingdom","Droylsden","red"
"33399",53.47394,-2.13922,"United Kingdom","Audenshaw","blue"
"33403",53.48525,-2.08209,"United Kingdom","Ashton-under-Lyne","blue"
"33406",53.48976,-2.09339,"United Kingdom","Ashton-under-Lyne","blue"
"33410",53.48714,-2.0976,"United Kingdom","Ashton-under-Lyne","blue"
"33413",53.48501,-2.10237,"United Kingdom","Ashton-under-Lyne","blue"
"33414",53.50023,-2.0929,"United Kingdom","Ashton-under-Lyne","green"
"33415",53.4984,-2.06596,"United Kingdom","Ashton-under-Lyne","blue"
"33430",53.40659,-2.98268,"United Kingdom","Liverpool","blue"
"33439",54.99448,-7.32363,"United Kingdom","Londonderry","blue"
"33442",54.82555,-7.46103,"United Kingdom","Strabane","blue"
"33443",54.27259,-8.47356,"Ireland","Sligo","stone"
"33451",50.73241,-1.7949,"United Kingdom","Bournemouth","blue"
"33453",51.76438,-1.21115,"United Kingdom","Oxford","blue"
"33454",51.51069,-0.12819,"United Kingdom","London","blue"
"33456",53.43223,-2.91233,"United Kingdom","Liverpool",""
"33512",53.40195,-2.98474,"United Kingdom","Liverpool","brown"
"33515",51.98794,-0.11922,"United Kingdom","Wallington","brown"
"33518",53.40229,-2.97307,"United Kingdom","Liverpool","grey"
"33519",53.3972,-2.96718,"United Kingdom","Liverpool","blue"
"33536",52.57984,-1.99286,"United Kingdom","Walsall","blue"
"33547",54.96387,-1.60405,"United Kingdom","Gateshead","grey"
"33554",54.95398,-1.6149,"United Kingdom","Gateshead","blue"
"33555",54.96083,-1.60023,"United Kingdom","Gateshead","blue"
"33556",54.9545,-1.61463,"United Kingdom","Gateshead","blue"
"33558",54.94278,-1.60419,"United Kingdom","Gateshead","blue"
"33559",54.95542,-1.60735,"United Kingdom","Gateshead","blue"
"33560",54.94552,-1.59105,"United Kingdom","Gateshead","blue"
"33561",54.93594,-1.5936,"United Kingdom","Gateshead","blue"
"33562",54.93377,-1.59708,"United Kingdom","Gateshead","blue"
"33563",54.937,-1.59628,"United Kingdom","Gateshead","blue"
"33564",54.93694,-1.59146,"United Kingdom","Gateshead","blue"
"33565",54.95436,-1.68409,"United Kingdom","Gateshead","blue"
"33569",53.74219,-0.35742,"United Kingdom","Hull","blue"
"33574",53.74465,-0.37915,"United Kingdom","Hull","blue"
"33578",53.76224,-0.29781,"United Kingdom","Hull","blue"
"33579",53.75695,-0.30876,"United Kingdom","Hull","blue"
"33580",53.7397,-0.33936,"United Kingdom","Hull","blue"
"33583",53.74124,-0.33832,"United Kingdom","Hull","blue"
"33590",53.7487,-0.33273,"United Kingdom","Hull","blue"
"33594",53.73908,-0.37406,"United Kingdom","Hull","blue"
"33599",53.74734,-0.3386,"United Kingdom","Hull","blue"
"33603",53.74161,-0.33577,"United Kingdom","Hull","blue"
"33605",53.7378,-0.33527,"United Kingdom","Hull","blue"
"33607",53.74344,-0.33905,"United Kingdom","Hull","blue"
"33608",53.74375,-0.33128,"United Kingdom","Hull","blue"
"33610",53.74752,-0.33771,"United Kingdom","Hull","blue"
"33611",53.74351,-0.33078,"United Kingdom","Hull","blue"
"33613",53.74223,-0.32237,"United Kingdom","Hull","blue"
"33615",53.74886,-0.33313,"United Kingdom","Hull","blue"
"33618",53.73542,-0.36312,"United Kingdom","Hull","blue"
"33633",48.86135,2.35619,"France","Paris","bronze"
"33676",49.46448,11.11019,"Germany","Nürnberg",""
"33688",50.94428,6.95598,"Germany","Köln",""
"33699",50.9338,10.72785,"Germany","Gotha","white"
"33705",47.47083,19.03814,"Hungary","Budapest","stone"
