"","latitude","longitude","country","area","colour"
"1730",51.56091,-0.0123,"United Kingdom","London","blue"
"1762",53.94453,-1.87906,"United Kingdom","Addingham","blue"
"1779",51.57155,0.01299,"United Kingdom","London","black"
"1796",51.51115,-0.12361,"United Kingdom","London","green"
"1819",51.55501,-1.78133,"United Kingdom","Swindon","blue"
"1838",51.49054,-0.23486,"United Kingdom","London","red"
"1854",50.81793,-0.12269,"United Kingdom","Brighton","blue"
"1857",51.52342,-0.14364,"United Kingdom","London","blue"
"1893",51.69988,0.11216,"United Kingdom","Epping","blue"
"1902",52.60345,-1.90625,"United Kingdom","Aldridge","blue"
"1931",51.46051,-0.21827,"United Kingdom","London","blue"
"1990",54.19327,-3.09068,"United Kingdom","Ulverston","film cell"
"1993",51.67011,-4.70429,"United Kingdom","Tenby","film cell"
"1994",51.56102,-1.83168,"United Kingdom","Swindon","film cell"
"2037",51.63205,-0.12584,"United Kingdom","London","film cell"
"2080",56.00762,-4.73772,"United Kingdom","Helensburgh","film cell"
"2126",53.89444,-2.32893,"United Kingdom","Downham","film cell"
"2171",51.64653,-0.18768,"United Kingdom","London","film cell"
"2173",54.6614,-5.66016,"United Kingdom","Bangor, County Down","film cell"
"2182",52.7871,-0.15147,"United Kingdom","Spalding","blue"
"2240",51.52356,-0.12241,"United Kingdom","London","blue"
"2260",51.71697,-1.96699,"United Kingdom","Cirencester","blue"
"2321",51.22718,-2.31,"United Kingdom","Frome","blue"
"2334",54.97288,-2.24726,"United Kingdom","Haydon Bridge","black"
"2357",50.47678,-3.5243,"United Kingdom","Torquay",""
"2393",51.75506,-1.25284,"United Kingdom","Oxford","blue"
"2530",51.54263,-0.04737,"United Kingdom","London","blue"
"2533",53.34209,-2.73404,"United Kingdom","Runcorn","blue"
"2541",51.56029,-0.19569,"United Kingdom","London","blue"
"2546",52.14202,-0.48254,"United Kingdom","Bedford","blue"
"2549",51.52015,-0.13012,"United Kingdom","London","blue"
"2550",50.83001,-0.18447,"United Kingdom","Hove","blue"
"2566",51.2602,-2.18334,"United Kingdom","Westbury","blue"
"2569",51.25892,-2.18195,"United Kingdom","Westbury","blue"
"2586",52.40813,-1.48163,"United Kingdom","Coventry","blue"
"2641",50.79042,-1.1035,"United Kingdom","Portsmouth","blue"
"2667",52.46585,-1.88889,"United Kingdom","Birmingham","blue"
"2676",53.44329,-1.94974,"United Kingdom","Glossop","blue"
"2695",52.50372,-2.01506,"United Kingdom","Oldbury","blue"
"2709",51.50255,-0.15089,"United Kingdom","London","bronze"
"2710",51.50269,-0.16276,"United Kingdom","London","black"
"2711",51.50245,-0.16843,"United Kingdom","London","multicoloured"
"2712",51.50247,-0.166,"United Kingdom","London","multicoloured"
"2738",51.52683,-0.177,"United Kingdom","London","blue"
"2750",50.11545,-5.5357,"United Kingdom","Penzance","black"
"2791",52.92361,-1.21876,"United Kingdom","Beeston, Nottinghamshire","blue"
"2793",52.92815,-1.21675,"United Kingdom","Beeston, Nottinghamshire","blue"
"2795",52.91824,-1.23044,"United Kingdom","Chilwell","blue"
"2797",52.92634,-1.20976,"United Kingdom","Beeston, Nottinghamshire","blue"
"2803",52.93201,-1.26932,"United Kingdom","Stapleford","blue"
"2805",52.93259,-1.24601,"United Kingdom","Bramcote","blue"
"2807",52.93203,-1.24453,"United Kingdom","Bramcote","blue"
"2808",52.92918,-1.21103,"United Kingdom","Beeston, Nottinghamshire","blue"
"2811",52.92559,-1.2058,"United Kingdom","Beeston, Nottinghamshire","blue"
"2812",52.92631,-1.21446,"United Kingdom","Beeston, Nottinghamshire","blue"
"2813",52.92913,-1.21661,"United Kingdom","Beeston, Nottinghamshire","blue"
"2815",52.90373,-1.22962,"United Kingdom","Attenborough","blue"
"2816",52.91255,-1.24163,"United Kingdom","Chilwell","blue"
"2818",52.92152,-1.22315,"United Kingdom","Chilwell","blue"
"2823",52.93196,-1.20714,"United Kingdom","Beeston, Nottinghamshire","blue"
"2825",52.92829,-1.2772,"United Kingdom","Stapleford","brown"
"2843",54.598,-5.95248,"United Kingdom","Belfast","black"
"2844",52.90864,-1.47898,"United Kingdom","Derby","blue"
"2889",52.78661,-0.15072,"United Kingdom","Spalding","blue"
"2910",54.32841,-5.71957,"United Kingdom","Downpatrick","grey"
"2941",52.18296,-2.23642,"United Kingdom","Worcester","blue"
"2944",51.56784,0.42389,"United Kingdom","Basildon","blue"
"2959",51.55635,-0.1694,"United Kingdom","London","blue"
"2965",51.4788,-0.11259,"United Kingdom","London","blue"
"2967",51.45761,-0.05066,"United Kingdom","London","blue"
"2971",51.61297,-3.98827,"United Kingdom","Swansea","blue"
"2977",51.47952,-3.17939,"United Kingdom","Cardiff","blue"
"2979",51.47763,-3.17881,"United Kingdom","Cardiff","blue"
"2989",51.68632,-3.45289,"United Kingdom","Cwmaman","blue"
"3000",50.83614,-0.77574,"United Kingdom","Chichester","film cell"
"3002",51.51393,-0.20858,"United Kingdom","London","blue"
"3003",51.52369,-0.13395,"United Kingdom","London","blue"
"3010",51.81322,-2.71532,"United Kingdom","Monmouth","blue"
"3017",51.81186,-2.71572,"United Kingdom","Monmouth","blue"
"3030",52.71791,-1.769,"United Kingdom","Fradley","blue"
"3031",52.71793,-1.76897,"United Kingdom","Fradley","blue"
"3032",52.71793,-1.76895,"United Kingdom","Fradley","stone"
"3061",51.43363,-3.16827,"United Kingdom","Penarth","slate"
"3076",54.2602,-5.60934,"United Kingdom","Ardglass","blue"
"3086",52.36813,4.90319,"Netherlands","Amsterdam","black"
"3087",53.94378,-8.95003,"Ireland","Swinford ","black"
"3097",53.94364,-8.95003,"Ireland","Swinford ","black"
"3121",51.52235,-0.15514,"","","black"
"3168",51.62236,-3.94588,"United Kingdom","Swansea","blue"
"3180",51.42891,-0.21775,"United Kingdom","London","blue"
"3192",52.52322,-1.46708,"United Kingdom","Nuneaton","bronze"
"3199",51.75811,-1.25487,"United Kingdom","Oxford","blue"
"3214",51.74817,-1.23789,"United Kingdom","Oxford","stone"
"3229",51.43506,-3.16609,"United Kingdom","Penarth","slate"
"3248",52.39796,-1.531,"United Kingdom","Coventry","green"
"3312",53.56797,-1.99244,"United Kingdom","Diggle","blue"
"3322",52.17709,0.09595,"United Kingdom","Grantchester","blue"
"3350",51.61993,-3.96713,"United Kingdom","Swansea","blue"
"3402",51.90257,-8.47505,"Ireland","Cork","bronze"
"3418",51.50585,-0.12434,"United Kingdom","London","blue"
"3421",51.5083,-0.12325,"United Kingdom","London","green"
"3422",52.41052,-1.50911,"United Kingdom","Coventry","black"
"3423",52.41045,-1.50865,"United Kingdom","Coventry","bronze"
"3441",0,0,"United Kingdom","Belfast","blue"
"3442",52.602,-2.13098,"United Kingdom","Wolverhampton","bronze"
"3447",51.46692,-0.09771,"United Kingdom","London","blue"
"3465",51.52828,-0.11372,"United Kingdom","London","blue"
"3500",52.80674,-1.62374,"United Kingdom","Burton-upon-Trent","blue"
"3527",52.58653,-2.12748,"United Kingdom","Wolverhampton","bronze"
"3528",52.58657,-2.12355,"United Kingdom","Wolverhampton","blue"
"3559",51.88657,0.89512,"United Kingdom","Colchester","green"
"3610",51.50549,-0.13998,"United Kingdom","London","green"
"3624",51.52266,-0.15683,"United Kingdom","London","green"
"3638",51.47762,-0.11938,"United Kingdom","London","blue"
"9453",52.53567,-2.01103,"United Kingdom","West Bromwich","blue"
"9455",51.51144,-0.12855,"United Kingdom","London","blue"
"9469",53.38163,-2.5974,"United Kingdom","Warrington","black"
"9544",51.19848,0.27737,"United Kingdom","Tonbridge","blue"
"9547",51.63942,-0.09536,"United Kingdom","London","blue"
"9552",51.51896,-0.1618,"United Kingdom","London","blue"
"9553",51.52303,-0.15779,"United Kingdom","London","blue"
"9554",51.47349,-0.16188,"United Kingdom","London","blue"
"9555",51.44971,-0.09292,"United Kingdom","London","blue"
"9556",51.46424,-0.26723,"United Kingdom","London","blue"
