Land,Area,Classifiers
Agriculture,1182.6,MLC
Urban/Built-up,116.6,MLC
Mining,127.8,MLC
Forest,2055.3,MLC
Water,38.9,MLC
Agriculture,1756.6,ANN
Urban/Built-up,81.9,ANN
Mining,83.1,ANN
Forest,1561.7,ANN
Water,37.8,ANN
Agriculture,1240.9,RF
Urban/Built-up,160.7,RF
Mining,211.1,RF
Forest,1848.7,RF
Water,59.7,RF
Agriculture,1126.7,TNMT
Urban/Built-up,353.4,TNMT
Mining,47.8,TNMT
Forest,1859.2,TNMT
Water,139.5,TNMT
