A1;A2;A3;A4;A5;YA;XA;B6;B7;B8;B9;B10;YB;XB;C11;C12;C13;C14;YC;XC;D15;D16;YD;XD;E17;E18;E19;E20;YE;XE;F21;F22;F23;YF;XF;G24;G25;YG;XG;H26;H27;YH;XH;Y-TB
2;2;5;5;3;2;3.4;2;3;3;2;2;3;2.4;3;3;2;2;3;2.5;2;4;3;3;3;3;3;3;3;3;2;2;3;2;2.33;2;3;3;2.5;2;2;2;2;2.63
4;4;5;5;4;4;4.4;3;4;4;4;3;3;3.6;3;3;2;2;3;2.5;2;3;3;2.5;4;4;4;4;4;4;4;3;3;4;3.33;2;3;3;2.5;2;2;2;2;3.25
2;2;2;3;3;2;2.4;3;2;2;3;3;3;2.6;3;2;2;3;3;2.5;3;3;3;3;3;3;3;4;3;3.25;2;1;2;2;1.67;3;2;3;2.5;2;3;3;2.5;2.75
4;3;5;4;4;4;4;5;3;4;5;5;4;4.4;3;3;5;4;3;3.75;5;4;4;4.5;4;4;2;2;4;3;1;4;3;3;2.67;5;5;3;5;3;4;3;3.5;3.50
5;5;4;4;4;4;4.4;4;4;4;4;4;4;4;5;5;5;5;5;5;3;3;3;3;4;4;4;4;4;4;3;3;3;3;3.00;3;3;3;3;3;3;3;3;3.63
2;3;5;4;3;4;3.4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4.00;4;4;4;4;4;4;4;4;4.00
5;4;4;4;4;4;4.2;5;5;5;5;5;5;5;4;4;5;5;4;4.5;4;4;4;4;5;5;4;4;4;4.5;3;3;3;3;3.00;4;3;4;3.5;3;3;3;3;3.88
5;5;5;5;3;5;4.6;5;4;4;5;4;4;4.4;4;4;4;4;4;4;4;4;4;4;5;4;4;5;4;4.5;4;4;4;4;4.00;5;4;4;4.5;5;4;4;4.5;4.13
5;4;4;4;4;4;4.2;4;5;4;5;4;4;4.4;4;3;3;4;5;3.5;3;3;3;3;5;4;4;4;4;4.25;4;5;3;4;4.00;3;3;3;3;3;3;3;3;3.75
3;2;5;2;3;3;3;3;2;3;5;2;3;3;2;3;3;4;3;3;4;4;4;4;1;2;3;3;2;2.25;3;2;2;3;2.33;2;2;2;2;2;2;2;2;2.75
3;2;1;1;3;3;2;3;3;2;3;2;3;2.6;1;1;1;2;2;1.25;2;1;2;1.5;2;3;2;3;2;2.5;1;1;1;1;1.00;2;2;2;2;2;1;2;1.5;2.13
5;4;5;4;3;5;4.2;5;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3.00;4;4;4;4;4;4;4;4;4.00
4;3;4;3;3;4;3.5;2;3;4;4;4;3;3.4;4;3;3;4;4;3.5;5;4;4;4.5;3;4;2;3;4;3;4;3;4;4;3.67;4;4;4;4;3;3;3;3;3.75
3;2;5;3;2;3;3;2;2;1;3;2;2;2;3;2;1;3;3;2.25;5;2;3;3.5;4;4;4;4;4;4;4;2;2;4;2.67;2;5;2;3;2;2;2;2;2.88
5;5;5;5;5;5;5;4;4;4;5;5;4;4.4;5;5;5;5;5;5;3;3;3;3;4;4;3;3;4;3.5;4;4;4;4;4.00;4;3;4;3.666666667;4;4;4;4;4.13
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;5;5;5;5;5.00;4;4;4;4;4;4;4;4;4.63
5;5;5;5;3;5;4.666666667;5;5;4;5;4;5;4.6;5;5;4;5;5;4.75;5;5;5;5;5;5;5;5;5;5;5;3;5;5;4.33;4;4;4;4;5;3;4;4;4.75
5;5;5;4;2;5;4.333333333;4;5;4;5;4;4;4.4;4;4;4;5;4;4.25;5;5;5;5;4;5;4;5;4;4.5;4;4;4;4;4.00;5;4;4;4.333333333;2;2;2;2;4.00
5;4;4;5;4;4;4.333333333;4;5;4;5;4;4;4.4;5;4;4;4;4;4.25;5;3;4;4;4;4;3;3;4;3.5;3;3;3;3;3.00;3;3;3;4;3;4;3;3.5;3.63
4;4;5;4;3;5;4.166666667;4;4;4;4;3;4;3.8;4;4;3;4;3;3.75;4;4;2;4;3;4;4;4;4;3.75;5;4;3;4;4.00;4;3;3;4;3;4;4;3.5;3.63
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
