A1;A2;A3;A4;A5;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C20;C21;C22;C23;C24;C25;C26;C27;C28;C29;C30;C31;C32;C33;C34;C35;C36;C37;D1;D2;D3;D4;D5;D6;D7;D8;F1;F2;F3
2;3;5;6;3;3;3;3;2;3;3;3;3;2;3;3;3;2;2;2;3;3;3;3;2;2;2;3;3;2;3;3;3;2;3;3;3;2;3;3;3;2;3;3;3;2;2;2;2;3;3;3;3;3;3;3;3;3;2;2;2;3;3;3;3;1
1;3;5;6;8;3;3;3;3;2;3;3;3;3;3;2;2;2;2;3;3;3;3;3;3;3;2;3;3;3;2;2;2;3;3;2;2;3;3;3;2;3;3;3;3;2;3;3;3;2;3;3;2;3;3;2;3;2;3;2;3;3;3;3;2;1
3;6;10;12;14;1;1;2;2;2;1;1;2;2;3;3;2;1;2;1;1;1;1;1;2;2;1;1;1;2;1;2;2;1;2;2;3;2;3;2;1;1;2;3;3;3;1;2;2;1;2;2;2;2;2;2;2;1;2;2;3;3;3;3;3;3
4;8;11;14;17;2;2;2;1;1;2;2;2;3;2;2;1;1;2;1;1;1;1;1;3;3;2;1;1;2;1;1;2;1;1;2;2;1;3;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;3;3;3;3;3
3;5;10;12;15;2;2;2;2;3;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2;1;1;2;1;1;2;2;2;3;3;2;3;2;2;1;2;3;3;2;2;2;1;2;3;2;3;1;2;2;1;2;2;1;2;3;3;3;3;3
3;4;8;10;12;2;1;1;2;2;2;1;2;1;1;1;2;1;2;1;1;1;1;1;2;3;1;1;1;2;2;2;1;1;1;1;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;2;2;2
2;5;7;10;11;1;1;1;2;2;2;1;1;2;2;1;1;1;2;2;1;1;1;1;2;2;2;1;1;2;2;1;1;1;2;2;1;1;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2
2;5;8;10;12;1;1;1;2;1;1;1;2;1;2;2;2;1;2;1;1;1;2;2;2;2;1;1;1;1;2;2;2;1;1;2;2;2;1;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;1;2;2;1;2;1;2;2;2;2;2
3;5;6;9;12;1;1;1;2;2;1;1;2;1;2;2;2;1;2;1;1;1;1;1;2;2;1;1;2;1;2;1;1;1;2;2;1;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2
10;15;20;30;35;2;2;3;2;2;3;3;2;3;1;2;3;3;2;2;3;2;3;2;2;2;2;2;2;3;2;2;2;3;2;3;2;2;2;3;2;3;2;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;2;3;2;2;3;3;1
10;15;20;15;10;2;2;1;1;1;1;1;1;3;1;1;2;3;2;2;2;2;2;2;2;3;2;2;2;2;2;3;3;2;2;2;1;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1
20;18;15;9;5;2;3;2;2;3;3;2;3;3;3;2;2;2;2;2;3;3;2;1;2;2;2;3;2;2;2;3;3;2;3;3;2;3;2;2;2;3;2;3;3;2;3;2;3;2;3;2;2;2;3;3;2;2;2;3;2;2;3;2;2;1
30;20;20;20;30;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1
30;27;25;20;10;2;2;2;2;2;3;3;3;3;3;3;2;2;2;2;2;3;3;2;1;1;2;3;3;2;2;1;1;2;2;2;2;2;2;2;2;3;2;3;3;3;2;2;2;2;2;3;3;3;3;2;2;2;2;2;3;3;2;2;2;1
35;20;15;10;11;2;3;3;2;2;3;2;3;2;2;2;3;2;2;2;3;3;3;2;3;2;1;2;2;2;3;2;3;2;2;3;3;2;3;2;2;1;2;2;3;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;3;2;3;2;3;1
40;45;35;50;25;3;3;2;2;2;2;2;2;3;2;3;2;2;3;1;1;3;2;1;1;2;1;2;2;2;3;3;2;2;2;3;2;2;2;2;2;1;2;2;2;3;3;2;2;2;2;2;2;2;2;3;2;2;3;2;2;2;3;2;2;1
40;30;30;20;20;2;2;2;3;3;2;3;3;3;2;2;2;2;2;1;2;2;3;2;2;2;3;3;3;3;2;2;2;2;2;2;2;3;2;3;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;3;2;2;2;1;2;2;2;1
1;1;1;1;1;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1
2;1;1;2;1;3;3;3;3;3;3;2;2;2;2;2;2;3;3;3;3;3;2;3;3;3;3;3;3;3;2;3;3;3;1;3;1;3;3;2;2;2;2;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1
31;27;15;17;13;2;2;2;3;2;3;3;2;2;3;2;2;3;2;2;3;2;3;2;2;2;1;2;2;3;2;2;3;2;2;3;2;3;2;3;2;2;2;2;3;2;2;3;2;2;2;3;2;3;3;2;2;2;3;2;3;2;2;1;1;1
