"","LN","Code","Values"
"19527","2012","X002422","-5.129727184"
"19528","2013","X002422","-5.299101014"
"19529","2014","X002422","-4.107899826"
"19530","2015","X002422","-4.079591525"
"19531","1995","X002423",""
"19532","1996","X002423",""
"19533","1997","X002423",""
"19534","1998","X002423",""
"19535","1999","X002423",""
"19536","2000","X002423","#DIV/0!"
"19537","2001","X002423","#DIV/0!"
"19538","2002","X002423","#DIV/0!"
"19539","2003","X002423","#DIV/0!"
"19540","2004","X002423","#DIV/0!"
"19541","2005","X002423","#DIV/0!"
"19542","2006","X002423","#DIV/0!"
"19543","2007","X002423","#DIV/0!"
"19544","2008","X002423","#DIV/0!"
"19545","2009","X002423","#DIV/0!"
"19546","2010","X002423","#DIV/0!"
"19547","2011","X002423","#DIV/0!"
"19548","2012","X002423","-3.015883947"
"19549","2013","X002423","-3.236385558"
"19550","2014","X002423","-3.438686273"
"19551","2015","X002423","-3.567698778"
"19552","1995","X002424",""
"19553","1996","X002424",""
"19554","1997","X002424",""
"19555","1998","X002424",""
"19556","1999","X002424",""
"19557","2000","X002424","#DIV/0!"
"19558","2001","X002424","#DIV/0!"
"19559","2002","X002424","#DIV/0!"
"19560","2003","X002424","#DIV/0!"
"19561","2004","X002424","#DIV/0!"
"19562","2005","X002424","#DIV/0!"
"19563","2006","X002424","#DIV/0!"
"19564","2007","X002424","#DIV/0!"
"19565","2008","X002424","#DIV/0!"
"19566","2009","X002424","#DIV/0!"
"19567","2010","X002424","#DIV/0!"
"19568","2011","X002424","#DIV/0!"
"19569","2012","X002424","-1.244178749"
"19570","2013","X002424","-1.546722573"
"19571","2014","X002424","-1.698172622"
"19572","2015","X002424","-1.737741773"
"19573","1995","X002425",""
"19574","1996","X002425",""
"19575","1997","X002425",""
"19576","1998","X002425",""
"19577","1999","X002425",""
"19578","2000","X002425","#DIV/0!"
"19579","2001","X002425","#DIV/0!"
"19580","2002","X002425","#DIV/0!"
"19581","2003","X002425","#DIV/0!"
"19582","2004","X002425","#DIV/0!"
"19583","2005","X002425","#DIV/0!"
"19584","2006","X002425","#DIV/0!"
"19585","2007","X002425","#DIV/0!"
"19586","2008","X002425","#DIV/0!"
"19587","2009","X002425","#DIV/0!"
"19588","2010","X002425","#DIV/0!"
"19589","2011","X002425","#DIV/0!"
"19590","2012","X002425","-3.744591754"
"19591","2013","X002425","-3.031942038"
"19592","2014","X002425","-2.775276743"
"19593","2015","X002425","-2.807223594"
"19594","1995","X002426",""
"19595","1996","X002426",""
"19596","1997","X002426",""
"19597","1998","X002426",""
"19598","1999","X002426",""
"19599","2000","X002426","#DIV/0!"
"19600","2001","X002426","#DIV/0!"
"19601","2002","X002426","#DIV/0!"
"19602","2003","X002426","#DIV/0!"
"19603","2004","X002426","#DIV/0!"
"19604","2005","X002426","#DIV/0!"
"19605","2006","X002426","#DIV/0!"
"19606","2007","X002426","#DIV/0!"
"19607","2008","X002426","#DIV/0!"
"19608","2009","X002426","#DIV/0!"
"19609","2010","X002426","#DIV/0!"
"19610","2011","X002426","#DIV/0!"
"19611","2012","X002426","-4.955885911"
"19612","2013","X002426","-2.686723957"
"19613","2014","X002426","-2.795232243"
"19614","2015","X002426","-2.742807954"
"19615","1995","X002427",""
"19616","1996","X002427",""
"19617","1997","X002427",""
"19618","1998","X002427",""
"19619","1999","X002427",""
"19620","2000","X002427","#DIV/0!"
"19621","2001","X002427","#DIV/0!"
"19622","2002","X002427","#DIV/0!"
"19623","2003","X002427","#DIV/0!"
"19624","2004","X002427","#DIV/0!"
"19625","2005","X002427","#DIV/0!"
"19626","2006","X002427","#DIV/0!"
"19627","2007","X002427","#DIV/0!"
"19628","2008","X002427","#DIV/0!"
"19629","2009","X002427","#DIV/0!"
"19630","2010","X002427","#DIV/0!"
"19631","2011","X002427","#DIV/0!"
"19632","2012","X002427","-3.47440888"
"19633","2013","X002427","-3.031256182"
"19634","2014","X002427","-3.219160093"
"19635","2015","X002427","-2.047349711"
"19636","1995","X002428",""
"19637","1996","X002428",""
"19638","1997","X002428",""
"19639","1998","X002428",""
"19640","1999","X002428",""
"19641","2000","X002428","#DIV/0!"
"19642","2001","X002428","#DIV/0!"
"19643","2002","X002428","#DIV/0!"
"19644","2003","X002428","#DIV/0!"
"19645","2004","X002428","#DIV/0!"
"19646","2005","X002428","#DIV/0!"
"19647","2006","X002428","#DIV/0!"
"19648","2007","X002428","#DIV/0!"
"19649","2008","X002428","#DIV/0!"
"19650","2009","X002428","#DIV/0!"
"19651","2010","X002428","#DIV/0!"
"19652","2011","X002428","#DIV/0!"
"19653","2012","X002428","-1.940761646"
"19654","2013","X002428","-1.344026063"
"19655","2014","X002428","-1.524716898"
"19656","2015","X002428","-1.658036518"
"19657","1995","X002429",""
"19658","1996","X002429",""
"19659","1997","X002429",""
"19660","1998","X002429",""
"19661","1999","X002429",""
"19662","2000","X002429","#DIV/0!"
"19663","2001","X002429","#DIV/0!"
"19664","2002","X002429","#DIV/0!"
"19665","2003","X002429","#DIV/0!"
"19666","2004","X002429","#DIV/0!"
"19667","2005","X002429","#DIV/0!"
"19668","2006","X002429","#DIV/0!"
"19669","2007","X002429","#DIV/0!"
"19670","2008","X002429","#DIV/0!"
"19671","2009","X002429","#DIV/0!"
"19672","2010","X002429","#DIV/0!"
"19673","2011","X002429","#DIV/0!"
"19674","2012","X002429","-2.909375262"
"19675","2013","X002429","-2.148385805"
"19676","2014","X002429","-2.329320882"
"19677","2015","X002429","-2.133132524"
"19678","1995","X002430",""
"19679","1996","X002430",""
"19680","1997","X002430",""
"19681","1998","X002430",""
"19682","1999","X002430",""
"19683","2000","X002430","#DIV/0!"
"19684","2001","X002430","#DIV/0!"
"19685","2002","X002430","#DIV/0!"
"19686","2003","X002430","#DIV/0!"
"19687","2004","X002430","#DIV/0!"
"19688","2005","X002430","#DIV/0!"
"19689","2006","X002430","#DIV/0!"
"19690","2007","X002430","#DIV/0!"
"19691","2008","X002430","#DIV/0!"
"19692","2009","X002430","#DIV/0!"
"19693","2010","X002430","#DIV/0!"
"19694","2011","X002430","#DIV/0!"
"19695","2012","X002430","-2.955746831"
"19696","2013","X002430","-3.109314308"
"19697","2014","X002430","-3.309653219"
"19698","2015","X002430","-3.352474217"
"19699","1995","X002431",""
"19700","1996","X002431",""
"19701","1997","X002431",""
"19702","1998","X002431",""
"19703","1999","X002431",""
"19704","2000","X002431","#DIV/0!"
"19705","2001","X002431","#DIV/0!"
"19706","2002","X002431","#DIV/0!"
"19707","2003","X002431","#DIV/0!"
"19708","2004","X002431","#DIV/0!"
"19709","2005","X002431","#DIV/0!"
"19710","2006","X002431","#DIV/0!"
"19711","2007","X002431","#DIV/0!"
"19712","2008","X002431","#DIV/0!"
"19713","2009","X002431","#DIV/0!"
"19714","2010","X002431","#DIV/0!"
"19715","2011","X002431","#DIV/0!"
"19716","2012","X002431","-2.955001816"
"19717","2013","X002431","-3.295933134"
"19718","2014","X002431","-2.927598231"
"19719","2015","X002431","-2.919285332"
"19720","1995","X002432",""
"19721","1996","X002432",""
"19722","1997","X002432",""
"19723","1998","X002432",""
"19724","1999","X002432",""
"19725","2000","X002432","#DIV/0!"
"19726","2001","X002432","#DIV/0!"
"19727","2002","X002432","#DIV/0!"
"19728","2003","X002432","#DIV/0!"
"19729","2004","X002432","#DIV/0!"
"19730","2005","X002432","#DIV/0!"
"19731","2006","X002432","#DIV/0!"
"19732","2007","X002432","#DIV/0!"
"19733","2008","X002432","#DIV/0!"
"19734","2009","X002432","#DIV/0!"
"19735","2010","X002432","#DIV/0!"
"19736","2011","X002432","#DIV/0!"
"19737","2012","X002432","-4.603717959"
"19738","2013","X002432","-2.854038142"
"19739","2014","X002432","-2.831936147"
"19740","2015","X002432","-2.974382701"
"19741","1995","X002433",""
"19742","1996","X002433",""
"19743","1997","X002433",""
"19744","1998","X002433",""
"19745","1999","X002433",""
"19746","2000","X002433","#DIV/0!"
"19747","2001","X002433","#DIV/0!"
"19748","2002","X002433","#DIV/0!"
"19749","2003","X002433","#DIV/0!"
"19750","2004","X002433","#DIV/0!"
"19751","2005","X002433","#DIV/0!"
"19752","2006","X002433","#DIV/0!"
"19753","2007","X002433","#DIV/0!"
"19754","2008","X002433","#DIV/0!"
"19755","2009","X002433","#DIV/0!"
"19756","2010","X002433","#DIV/0!"
"19757","2011","X002433","#DIV/0!"
"19758","2012","X002433","-3.869481258"
"19759","2013","X002433","-2.628457971"
"19760","2014","X002433","-2.816331662"
"19761","2015","X002433","-2.939919703"
"19762","1995","X002434",""
"19763","1996","X002434",""
"19764","1997","X002434",""
"19765","1998","X002434",""
"19766","1999","X002434",""
"19767","2000","X002434","#DIV/0!"
"19768","2001","X002434","#DIV/0!"
"19769","2002","X002434","#DIV/0!"
"19770","2003","X002434","#DIV/0!"
"19771","2004","X002434","#DIV/0!"
"19772","2005","X002434","#DIV/0!"
"19773","2006","X002434","#DIV/0!"
"19774","2007","X002434","#DIV/0!"
"19775","2008","X002434","#DIV/0!"
"19776","2009","X002434","#DIV/0!"
"19777","2010","X002434","#DIV/0!"
"19778","2011","X002434","#DIV/0!"
"19779","2012","X002434","-4.707645387"
"19780","2013","X002434","-2.541885988"
"19781","2014","X002434","-2.733198235"
"19782","2015","X002434","-2.839532311"
"19783","1995","X002435",""
"19784","1996","X002435",""
"19785","1997","X002435",""
"19786","1998","X002435",""
"19787","1999","X002435",""
"19788","2000","X002435","#DIV/0!"
"19789","2001","X002435","#DIV/0!"
"19790","2002","X002435","#DIV/0!"
"19791","2003","X002435","#DIV/0!"
"19792","2004","X002435","#DIV/0!"
"19793","2005","X002435","#DIV/0!"
"19794","2006","X002435","#DIV/0!"
"19795","2007","X002435","#DIV/0!"
"19796","2008","X002435","#DIV/0!"
"19797","2009","X002435","#DIV/0!"
"19798","2010","X002435","#DIV/0!"
"19799","2011","X002435","#DIV/0!"
"19800","2012","X002435","-1.434089516"
"19801","2013","X002435","-1.619924246"
"19802","2014","X002435","-1.769126361"
"19803","2015","X002435","-1.902806821"
"19804","1995","X002436",""
"19805","1996","X002436",""
"19806","1997","X002436",""
"19807","1998","X002436",""
"19808","1999","X002436",""
"19809","2000","X002436","#DIV/0!"
"19810","2001","X002436","#DIV/0!"
"19811","2002","X002436","#DIV/0!"
"19812","2003","X002436","#DIV/0!"
"19813","2004","X002436","#DIV/0!"
"19814","2005","X002436","#DIV/0!"
"19815","2006","X002436","#DIV/0!"
"19816","2007","X002436","#DIV/0!"
"19817","2008","X002436","#DIV/0!"
"19818","2009","X002436","#DIV/0!"
"19819","2010","X002436","#DIV/0!"
"19820","2011","X002436","#DIV/0!"
"19821","2012","X002436","-5.530001113"
"19822","2013","X002436","-2.870059046"
"19823","2014","X002436","-2.986432994"
"19824","2015","X002436","-3.09163593"
"19825","1995","X002437",""
"19826","1996","X002437",""
"19827","1997","X002437",""
"19828","1998","X002437",""
"19829","1999","X002437",""
"19830","2000","X002437","#DIV/0!"
"19831","2001","X002437","#DIV/0!"
"19832","2002","X002437","#DIV/0!"
"19833","2003","X002437","#DIV/0!"
"19834","2004","X002437","#DIV/0!"
"19835","2005","X002437","#DIV/0!"
"19836","2006","X002437","#DIV/0!"
"19837","2007","X002437","#DIV/0!"
"19838","2008","X002437","#DIV/0!"
"19839","2009","X002437","#DIV/0!"
"19840","2010","X002437","#DIV/0!"
"19841","2011","X002437","#DIV/0!"
"19842","2012","X002437","-4.170933644"
"19843","2013","X002437","-4.508597074"
"19844","2014","X002437","-3.550090201"
"19845","2015","X002437","-3.693545024"
"19846","1995","X002438",""
"19847","1996","X002438",""
"19848","1997","X002438",""
"19849","1998","X002438",""
"19850","1999","X002438",""
"19851","2000","X002438","#DIV/0!"
"19852","2001","X002438","#DIV/0!"
"19853","2002","X002438","#DIV/0!"
"19854","2003","X002438","#DIV/0!"
"19855","2004","X002438","#DIV/0!"
"19856","2005","X002438","#DIV/0!"
"19857","2006","X002438","#DIV/0!"
"19858","2007","X002438","#DIV/0!"
"19859","2008","X002438","#DIV/0!"
"19860","2009","X002438","#DIV/0!"
"19861","2010","X002438","#DIV/0!"
"19862","2011","X002438","#DIV/0!"
"19863","2012","X002438","-2.351827136"
"19864","2013","X002438","-2.658655995"
"19865","2014","X002438","-2.739322081"
"19866","2015","X002438","-2.799280279"
"19867","1995","X002439",""
"19868","1996","X002439",""
"19869","1997","X002439",""
"19870","1998","X002439",""
"19871","1999","X002439",""
"19872","2000","X002439","#DIV/0!"
"19873","2001","X002439","#DIV/0!"
"19874","2002","X002439","#DIV/0!"
"19875","2003","X002439","#DIV/0!"
"19876","2004","X002439","#DIV/0!"
"19877","2005","X002439","#DIV/0!"
"19878","2006","X002439","#DIV/0!"
"19879","2007","X002439","#DIV/0!"
"19880","2008","X002439","#DIV/0!"
"19881","2009","X002439","#DIV/0!"
"19882","2010","X002439","#DIV/0!"
"19883","2011","X002439","#DIV/0!"
"19884","2012","X002439","-3.431705158"
"19885","2013","X002439","-3.611365006"
"19886","2014","X002439","-2.842883697"
"19887","2015","X002439","-2.911258888"
"19888","1995","X002440",""
"19889","1996","X002440",""
"19890","1997","X002440",""
"19891","1998","X002440",""
"19892","1999","X002440",""
"19893","2000","X002440","#DIV/0!"
"19894","2001","X002440","#DIV/0!"
"19895","2002","X002440","#DIV/0!"
"19896","2003","X002440","#DIV/0!"
"19897","2004","X002440","#DIV/0!"
"19898","2005","X002440","#DIV/0!"
"19899","2006","X002440","#DIV/0!"
"19900","2007","X002440","#DIV/0!"
"19901","2008","X002440","#DIV/0!"
"19902","2009","X002440","#DIV/0!"
"19903","2010","X002440","#DIV/0!"
"19904","2011","X002440","#DIV/0!"
"19905","2012","X002440","-2.966600211"
"19906","2013","X002440","-2.352085829"
"19907","2014","X002440","-2.554286904"
"19908","2015","X002440","-2.459699025"
"19909","1995","X002441",""
"19910","1996","X002441",""
"19911","1997","X002441",""
"19912","1998","X002441",""
"19913","1999","X002441",""
"19914","2000","X002441","#DIV/0!"
"19915","2001","X002441","#DIV/0!"
"19916","2002","X002441","#DIV/0!"
"19917","2003","X002441","#DIV/0!"
"19918","2004","X002441","#DIV/0!"
"19919","2005","X002441","#DIV/0!"
"19920","2006","X002441","#DIV/0!"
"19921","2007","X002441","#DIV/0!"
"19922","2008","X002441","#DIV/0!"
"19923","2009","X002441","#DIV/0!"
"19924","2010","X002441","#DIV/0!"
"19925","2011","X002441","#DIV/0!"
"19926","2012","X002441","-3.007240353"
"19927","2013","X002441","-1.551418638"
"19928","2014","X002441","-1.715940809"
"19929","2015","X002441","-1.793227413"
"19930","1995","X002442",""
"19931","1996","X002442",""
"19932","1997","X002442",""
"19933","1998","X002442",""
"19934","1999","X002442",""
"19935","2000","X002442","#DIV/0!"
"19936","2001","X002442","#DIV/0!"
"19937","2002","X002442","#DIV/0!"
"19938","2003","X002442","#DIV/0!"
"19939","2004","X002442","#DIV/0!"
"19940","2005","X002442","#DIV/0!"
"19941","2006","X002442","#DIV/0!"
"19942","2007","X002442","#DIV/0!"
"19943","2008","X002442","#DIV/0!"
"19944","2009","X002442","#DIV/0!"
"19945","2010","X002442","#DIV/0!"
"19946","2011","X002442","#DIV/0!"
"19947","2012","X002442","-3.510229704"
"19948","2013","X002442","-3.855861404"
"19949","2014","X002442","-2.700758589"
"19950","2015","X002442","-2.73752133"
"19951","1995","X002443",""
"19952","1996","X002443",""
"19953","1997","X002443",""
"19954","1998","X002443",""
"19955","1999","X002443",""
"19956","2000","X002443","#DIV/0!"
"19957","2001","X002443","#DIV/0!"
"19958","2002","X002443","#DIV/0!"
"19959","2003","X002443","#DIV/0!"
"19960","2004","X002443","#DIV/0!"
"19961","2005","X002443","#DIV/0!"
"19962","2006","X002443","#DIV/0!"
"19963","2007","X002443","#DIV/0!"
"19964","2008","X002443","#DIV/0!"
"19965","2009","X002443","#DIV/0!"
"19966","2010","X002443","#DIV/0!"
"19967","2011","X002443","#DIV/0!"
"19968","2012","X002443","-4.472899579"
"19969","2013","X002443","-4.490637058"
"19970","2014","X002443","-4.248776155"
"19971","2015","X002443","-3.152005921"
"19972","1995","X002444",""
"19973","1996","X002444",""
"19974","1997","X002444",""
"19975","1998","X002444",""
"19976","1999","X002444",""
"19977","2000","X002444","#DIV/0!"
"19978","2001","X002444","#DIV/0!"
"19979","2002","X002444","#DIV/0!"
"19980","2003","X002444","#DIV/0!"
"19981","2004","X002444","#DIV/0!"
"19982","2005","X002444","#DIV/0!"
"19983","2006","X002444","#DIV/0!"
"19984","2007","X002444","#DIV/0!"
"19985","2008","X002444","#DIV/0!"
"19986","2009","X002444","#DIV/0!"
"19987","2010","X002444","#DIV/0!"
"19988","2011","X002444","#DIV/0!"
"19989","2012","X002444","-2.369158431"
"19990","2013","X002444","-2.384695508"
"19991","2014","X002444","-2.55860146"
"19992","2015","X002444","-2.702397946"
"19993","1995","X002445",""
"19994","1996","X002445",""
"19995","1997","X002445",""
"19996","1998","X002445",""
"19997","1999","X002445",""
"19998","2000","X002445","#DIV/0!"
"19999","2001","X002445","#DIV/0!"
"20000","2002","X002445","#DIV/0!"
"20001","2003","X002445","#DIV/0!"
"20002","2004","X002445","#DIV/0!"
"20003","2005","X002445","#DIV/0!"
"20004","2006","X002445","#DIV/0!"
"20005","2007","X002445","#DIV/0!"
"20006","2008","X002445","#DIV/0!"
"20007","2009","X002445","#DIV/0!"
"20008","2010","X002445","#DIV/0!"
"20009","2011","X002445","#DIV/0!"
"20010","2012","X002445","-2.912785076"
"20011","2013","X002445","-3.24631234"
"20012","2014","X002445","-2.725795266"
"20013","2015","X002445","-2.486645669"
"20014","1995","X002446",""
"20015","1996","X002446",""
"20016","1997","X002446",""
"20017","1998","X002446",""
"20018","1999","X002446",""
"20019","2000","X002446","#DIV/0!"
"20020","2001","X002446","#DIV/0!"
"20021","2002","X002446","#DIV/0!"
"20022","2003","X002446","#DIV/0!"
"20023","2004","X002446","#DIV/0!"
"20024","2005","X002446","#DIV/0!"
"20025","2006","X002446","#DIV/0!"
"20026","2007","X002446","#DIV/0!"
"20027","2008","X002446","#DIV/0!"
"20028","2009","X002446","#DIV/0!"
"20029","2010","X002446","#DIV/0!"
"20030","2011","X002446","#DIV/0!"
"20031","2012","X002446","-5.310442524"
"20032","2013","X002446","-3.659594688"
"20033","2014","X002446","-2.314379817"
"20034","2015","X002446","-2.4569305"
"20035","1995","X002447",""
"20036","1996","X002447",""
"20037","1997","X002447",""
"20038","1998","X002447",""
"20039","1999","X002447",""
"20040","2000","X002447","#DIV/0!"
"20041","2001","X002447","#DIV/0!"
"20042","2002","X002447","#DIV/0!"
"20043","2003","X002447","#DIV/0!"
"20044","2004","X002447","#DIV/0!"
"20045","2005","X002447","#DIV/0!"
"20046","2006","X002447","#DIV/0!"
"20047","2007","X002447","#DIV/0!"
"20048","2008","X002447","#DIV/0!"
"20049","2009","X002447","#DIV/0!"
"20050","2010","X002447","#DIV/0!"
"20051","2011","X002447","#DIV/0!"
"20052","2012","X002447","-1.796836143"
"20053","2013","X002447","-2.131021562"
"20054","2014","X002447","-2.224653908"
"20055","2015","X002447","-2.365772758"
"20056","1995","X002448",""
"20057","1996","X002448",""
"20058","1997","X002448",""
"20059","1998","X002448",""
"20060","1999","X002448",""
"20061","2000","X002448","#DIV/0!"
"20062","2001","X002448","#DIV/0!"
"20063","2002","X002448","#DIV/0!"
"20064","2003","X002448","#DIV/0!"
"20065","2004","X002448","#DIV/0!"
"20066","2005","X002448","#DIV/0!"
"20067","2006","X002448","#DIV/0!"
"20068","2007","X002448","#DIV/0!"
"20069","2008","X002448","#DIV/0!"
"20070","2009","X002448","#DIV/0!"
"20071","2010","X002448","#DIV/0!"
"20072","2011","X002448","#DIV/0!"
"20073","2012","X002448","-4.068549696"
"20074","2013","X002448","-2.683614706"
"20075","2014","X002448","-2.820552175"
"20076","2015","X002448","-2.957807445"
"20077","1995","X002449",""
"20078","1996","X002449",""
"20079","1997","X002449",""
"20080","1998","X002449",""
"20081","1999","X002449",""
"20082","2000","X002449","#DIV/0!"
"20083","2001","X002449","#DIV/0!"
"20084","2002","X002449","#DIV/0!"
"20085","2003","X002449","#DIV/0!"
"20086","2004","X002449","#DIV/0!"
"20087","2005","X002449","#DIV/0!"
"20088","2006","X002449","#DIV/0!"
"20089","2007","X002449","#DIV/0!"
"20090","2008","X002449","#DIV/0!"
"20091","2009","X002449","#DIV/0!"
"20092","2010","X002449","#DIV/0!"
"20093","2011","X002449","#DIV/0!"
"20094","2012","X002449","-4.203050436"
"20095","2013","X002449","-4.087283295"
"20096","2014","X002449","-3.948748035"
"20097","2015","X002449","-3.323255904"
"20098","1995","X002450",""
"20099","1996","X002450",""
"20100","1997","X002450",""
"20101","1998","X002450",""
"20102","1999","X002450",""
"20103","2000","X002450","#DIV/0!"
"20104","2001","X002450","#DIV/0!"
"20105","2002","X002450","#DIV/0!"
"20106","2003","X002450","#DIV/0!"
"20107","2004","X002450","#DIV/0!"
"20108","2005","X002450","#DIV/0!"
"20109","2006","X002450","#DIV/0!"
"20110","2007","X002450","#DIV/0!"
"20111","2008","X002450","#DIV/0!"
"20112","2009","X002450","#DIV/0!"
"20113","2010","X002450","#DIV/0!"
"20114","2011","X002450","#DIV/0!"
"20115","2012","X002450","-2.705299534"
"20116","2013","X002450","-2.817651809"
"20117","2014","X002450","-2.580535915"
"20118","2015","X002450","-2.634052064"
"20119","1995","X002451",""
"20120","1996","X002451",""
"20121","1997","X002451",""
"20122","1998","X002451",""
"20123","1999","X002451",""
"20124","2000","X002451","#DIV/0!"
"20125","2001","X002451","#DIV/0!"
"20126","2002","X002451","#DIV/0!"
"20127","2003","X002451","#DIV/0!"
"20128","2004","X002451","#DIV/0!"
"20129","2005","X002451","#DIV/0!"
"20130","2006","X002451","#DIV/0!"
"20131","2007","X002451","#DIV/0!"
"20132","2008","X002451","#DIV/0!"
"20133","2009","X002451","#DIV/0!"
"20134","2010","X002451","#DIV/0!"
"20135","2011","X002451","#DIV/0!"
"20136","2012","X002451","-2.069134046"
"20137","2013","X002451","-2.275299346"
"20138","2014","X002451","-2.415885096"
"20139","2015","X002451","-2.368159854"
"20140","1995","X002452",""
"20141","1996","X002452",""
"20142","1997","X002452",""
"20143","1998","X002452",""
"20144","1999","X002452",""
"20145","2000","X002452","#DIV/0!"
"20146","2001","X002452","#DIV/0!"
"20147","2002","X002452","#DIV/0!"
"20148","2003","X002452","#DIV/0!"
"20149","2004","X002452","#DIV/0!"
"20150","2005","X002452","#DIV/0!"
"20151","2006","X002452","#DIV/0!"
"20152","2007","X002452","#DIV/0!"
"20153","2008","X002452","#DIV/0!"
"20154","2009","X002452","#DIV/0!"
"20155","2010","X002452","#DIV/0!"
"20156","2011","X002452","#DIV/0!"
"20157","2012","X002452","-2.905350213"
"20158","2013","X002452","-2.74875704"
"20159","2014","X002452","-2.943789068"
"20160","2015","X002452","-2.951301574"
"20161","1995","X002453",""
"20162","1996","X002453",""
"20163","1997","X002453",""
"20164","1998","X002453",""
"20165","1999","X002453",""
"20166","2000","X002453","#DIV/0!"
"20167","2001","X002453","#DIV/0!"
"20168","2002","X002453","#DIV/0!"
"20169","2003","X002453","#DIV/0!"
"20170","2004","X002453","#DIV/0!"
"20171","2005","X002453","#DIV/0!"
"20172","2006","X002453","#DIV/0!"
"20173","2007","X002453","#DIV/0!"
"20174","2008","X002453","#DIV/0!"
"20175","2009","X002453","#DIV/0!"
"20176","2010","X002453","#DIV/0!"
"20177","2011","X002453","#DIV/0!"
"20178","2012","X002453","-5.724846937"
"20179","2013","X002453","-3.414690898"
"20180","2014","X002453","-3.511750695"
"20181","2015","X002453","-3.640124836"
"20182","1995","X002454",""
"20183","1996","X002454",""
"20184","1997","X002454",""
"20185","1998","X002454",""
"20186","1999","X002454",""
"20187","2000","X002454","#DIV/0!"
"20188","2001","X002454","#DIV/0!"
"20189","2002","X002454","#DIV/0!"
"20190","2003","X002454","#DIV/0!"
"20191","2004","X002454","#DIV/0!"
"20192","2005","X002454","#DIV/0!"
"20193","2006","X002454","#DIV/0!"
"20194","2007","X002454","#DIV/0!"
"20195","2008","X002454","#DIV/0!"
"20196","2009","X002454","#DIV/0!"
"20197","2010","X002454","#DIV/0!"
"20198","2011","X002454","#DIV/0!"
"20199","2012","X002454","-4.257039109"
"20200","2013","X002454","-4.012112162"
"20201","2014","X002454","-4.158571915"
"20202","2015","X002454","-3.918621425"
"20203","1995","X002455",""
"20204","1996","X002455",""
"20205","1997","X002455",""
"20206","1998","X002455",""
"20207","1999","X002455",""
"20208","2000","X002455","#DIV/0!"
"20209","2001","X002455","#DIV/0!"
"20210","2002","X002455","#DIV/0!"
"20211","2003","X002455","#DIV/0!"
"20212","2004","X002455","#DIV/0!"
"20213","2005","X002455","#DIV/0!"
"20214","2006","X002455","#DIV/0!"
"20215","2007","X002455","#DIV/0!"
"20216","2008","X002455","#DIV/0!"
"20217","2009","X002455","#DIV/0!"
"20218","2010","X002455","#DIV/0!"
"20219","2011","X002455","#DIV/0!"
"20220","2012","X002455","-3.733322631"
"20221","2013","X002455","-3.431877606"
"20222","2014","X002455","-3.134532391"
"20223","2015","X002455","-2.476014906"
"20224","1995","X002456",""
"20225","1996","X002456",""
"20226","1997","X002456",""
"20227","1998","X002456",""
"20228","1999","X002456",""
"20229","2000","X002456","#DIV/0!"
"20230","2001","X002456","#DIV/0!"
"20231","2002","X002456","#DIV/0!"
"20232","2003","X002456","#DIV/0!"
"20233","2004","X002456","#DIV/0!"
"20234","2005","X002456","#DIV/0!"
"20235","2006","X002456","#DIV/0!"
"20236","2007","X002456","#DIV/0!"
"20237","2008","X002456","#DIV/0!"
"20238","2009","X002456","#DIV/0!"
"20239","2010","X002456","#DIV/0!"
"20240","2011","X002456","#DIV/0!"
"20241","2012","X002456","-4.243340257"
"20242","2013","X002456","-2.521112174"
"20243","2014","X002456","-2.363705918"
"20244","2015","X002456","-2.507090241"
"20245","1995","X002457",""
"20246","1996","X002457",""
"20247","1997","X002457",""
"20248","1998","X002457",""
"20249","1999","X002457",""
"20250","2000","X002457","#DIV/0!"
"20251","2001","X002457","#DIV/0!"
"20252","2002","X002457","#DIV/0!"
"20253","2003","X002457","#DIV/0!"
"20254","2004","X002457","#DIV/0!"
"20255","2005","X002457","#DIV/0!"
"20256","2006","X002457","#DIV/0!"
"20257","2007","X002457","#DIV/0!"
"20258","2008","X002457","#DIV/0!"
"20259","2009","X002457","#DIV/0!"
"20260","2010","X002457","#DIV/0!"
"20261","2011","X002457","#DIV/0!"
"20262","2012","X002457","-4.456368557"
"20263","2013","X002457","-3.021052976"
"20264","2014","X002457","-2.508765459"
"20265","2015","X002457","-2.645664433"
"20266","1995","X002458",""
"20267","1996","X002458",""
"20268","1997","X002458",""
"20269","1998","X002458",""
"20270","1999","X002458",""
"20271","2000","X002458","#DIV/0!"
"20272","2001","X002458","#DIV/0!"
"20273","2002","X002458","#DIV/0!"
"20274","2003","X002458","#DIV/0!"
"20275","2004","X002458","#DIV/0!"
"20276","2005","X002458","#DIV/0!"
"20277","2006","X002458","#DIV/0!"
"20278","2007","X002458","#DIV/0!"
"20279","2008","X002458","#DIV/0!"
"20280","2009","X002458","#DIV/0!"
"20281","2010","X002458","#DIV/0!"
"20282","2011","X002458","#DIV/0!"
"20283","2012","X002458","-2.500654765"
"20284","2013","X002458","-2.253571555"
"20285","2014","X002458","-1.940631935"
"20286","2015","X002458","-2.059768515"
"20287","1995","X002459",""
"20288","1996","X002459",""
"20289","1997","X002459",""
"20290","1998","X002459",""
"20291","1999","X002459",""
"20292","2000","X002459","#DIV/0!"
"20293","2001","X002459","#DIV/0!"
"20294","2002","X002459","#DIV/0!"
"20295","2003","X002459","#DIV/0!"
"20296","2004","X002459","#DIV/0!"
"20297","2005","X002459","#DIV/0!"
