"","CLASS_NAME","Band1","Band2","Band3","Band4"
"421","Agriculture",0.0509949661791325,0.0644968599081039,0.0609945990145206,0.222186386585236
"422","Agriculture",0.0498989336192608,0.0637998282909393,0.0589953027665615,0.25877720117569
"423","Agriculture",0.0441999956965446,0.0615999922156334,0.054799996316433,0.28150001168251
"424","Agriculture",0.0546945258975029,0.0655955374240875,0.0794850364327431,0.173475474119186
"425","Agriculture",0.0378999933600426,0.0480999946594238,0.0350999981164932,0.309399992227554
"426","Agriculture",0.0411999970674515,0.0472999960184097,0.0454999953508377,0.193399995565414
"427","Agriculture",0.0394959077239037,0.0601938515901566,0.0473944097757339,0.26629427075386
"428","Agriculture",0.0428983792662621,0.054990790784359,0.0447908602654934,0.245791435241699
"429","Agriculture",0.0439987182617188,0.0555957779288292,0.047494325786829,0.227578923106194
"430","Agriculture",0.0414991304278374,0.0460945777595043,0.0391838178038597,0.212698176503181
"431","Agriculture",0.0599968992173672,0.0691966265439987,0.0978881493210793,0.148292303085327
"432","Agriculture",0.0596999973058701,0.0770999938249588,0.104499988257885,0.238999977707863
"433","Agriculture",0.0725986883044243,0.0847917273640633,0.116499572992325,0.210981443524361
"434","Agriculture",0.0581991076469421,0.0596953742206097,0.0638981908559799,0.16618749499321
"435","Agriculture",0.0561934150755405,0.0649953782558441,0.0852831900119781,0.129482015967369
"436","Agriculture",0.0517920590937138,0.0658908486366272,0.06209871545434,0.243680477142334
"437","Agriculture",0.0561934150755405,0.0719943195581436,0.085483193397522,0.210981443524361
"438","Agriculture",0.0531999543309212,0.0633933395147324,0.0729997903108597,0.185977220535278
"439","Agriculture",0.0539970435202122,0.0642936155200005,0.0812843590974808,0.17928758263588
"440","Agriculture",0.051198560744524,0.0683980211615562,0.0800847634673119,0.224679216742516
"441","Agriculture",0.0549934841692448,0.0668927580118179,0.0660974159836769,0.222987338900566
"442","Agriculture",0.0580994635820389,0.0634949579834938,0.0847962126135826,0.125577941536903
"443","Agriculture",0.0546945258975029,0.0635965690016747,0.0747992917895317,0.141476154327393
"444","Agriculture",0.0655940324068069,0.0831990987062454,0.113396212458611,0.208081737160683
"445","Agriculture",0.0751938819885254,0.0933974534273148,0.115395329892635,0.185684785246849
"446","Agriculture",0.0372999981045723,0.0445999950170517,0.0361000001430511,0.218199983239174
"447","Agriculture",0.0514974743127823,0.0667911097407341,0.0684967860579491,0.241988778114319
"448","Agriculture",0.0564966313540936,0.0704938396811485,0.0853875279426575,0.194078683853149
"449","Agriculture",0.0363999977707863,0.0438999980688095,0.034000001847744,0.241099998354912
"450","Agriculture",0.0441936701536179,0.0604988858103752,0.0507890954613686,0.268786668777466
"451","Agriculture",0.0506960190832615,0.0619945228099823,0.0729997903108597,0.18097922205925
"452","Agriculture",0.0682928860187531,0.0855999067425728,0.116195447742939,0.21058751642704
"453","Agriculture",0.0355999991297722,0.0460999980568886,0.0323000028729439,0.285100013017654
"454","Agriculture",0.0457964949309826,0.0562976002693176,0.0539881512522697,0.213677912950516
"455","Agriculture",0.0686956644058228,0.0828991308808327,0.130287349224091,0.19457483291626
"456","Agriculture",0.0599968992173672,0.0687949731945992,0.0897862613201141,0.169493943452835
"457","Agriculture",0.086994357407093,0.112395539879799,0.156792178750038,0.212494626641273
"458","Agriculture",0.0630986019968987,0.0690998360514641,0.0890907347202301,0.131186664104462
