Z1;Z2;N1;N2;N3;N4;N5;A1;A2;A3;A4;A5;B1 ;B2;B3;B4;B5;B6;B7;B8;B9;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C20;C21;C22;C23;C24;C25;C26;C27;C28;C29;C30;C31;C32;C33;C34 ;D1;D2;D3;D4;D5;D6;D7;D8;D9;F1;F2;F3;F4;F5
0;1;0;1;0;0;0;5;6;7;8;9;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;3;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
0;1;0;1;0;0;0;10;15;20;30;35;2;2;3;2;2;2;2;2;2;2;3;3;3;1;2;2;1;2;1;1;1;1;2;3;3;3;3;3;3;3;1;2;2;2;1;2;1;1;3;3;3;3;3;3;3;2;2;3;2;2;2;2;2;2;2;2;3
1;0;0;1;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;3;2;2;1;2;2;2;2;2;2;2;3;2;2;1;3;3;2;2;2;3;3;3;3;2
1;0;0;1;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;3;2;2;1;2;2;2;2;2;2;2;2;2;3
0;1;0;1;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
0;1;0;1;0;0;0;10;20;30;40;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;1;3;3;3;3;3;3;3;1;1;1;1;1;1;2;2;2;2;3;3;3;3;3;3;2;2;3;3;2;3;3;3;3;3;3;2
1;0;0;1;0;0;0;10;20;30;40;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3
0;1;0;0;0;1;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2
0;1;0;0;0;1;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2
0;1;0;0;0;1;0;1;0;0;0;0;1;1;1;1;1;2;2;2;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2
0;1;0;1;0;0;0;3;5;6;7;9;3;3;2;2;2;3;2;3;2;3;2;2;2;3;2;2;3;3;3;3;2;3;2;3;3;3;3;2;3;3;3;3;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2
1;0;0;0;0;0;1;0;0;0;0;0;3;2;2;3;2;2;2;3;2;3;2;3;3;3;3;3;2;2;3;2;3;3;3;2;2;3;2;3;3;3;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;2
0;1;0;1;0;0;0;5;5;5;15;15;2;3;2;3;3;3;2;2;2;2;2;3;3;2;2;3;2;3;2;2;2;1;3;2;3;3;3;3;2;2;2;1;1;1;2;2;2;2;3;3;3;3;2;2;3;3;2;3;3;3;3;3;3;3;3;3;2
0;1;0;0;0;0;1;0;0;0;0;0;2;2;2;3;2;2;2;2;2;2;2;3;2;2;3;3;2;3;3;2;3;2;2;2;1;2;3;2;1;2;1;1;2;2;2;2;2;3;3;3;3;3;2;2;3;2;2;2;3;3;3;2;2;3;2;3;3
0;1;0;1;0;0;0;4;3;5;10;7;2;2;2;3;3;3;2;2;2;2;2;3;3;2;2;3;2;3;2;2;1;1;3;3;3;3;2;3;2;1;2;1;2;2;3;2;2;2;3;3;3;3;2;2;3;2;2;2;2;3;3;2;2;3;3;3;2
0;1;0;1;0;0;0;5;5;10;0;0;2;2;2;3;3;3;2;3;2;2;2;3;3;2;2;3;2;3;2;2;2;2;3;3;2;3;2;2;2;2;2;2;2;2;2;3;2;3;2;3;3;2;3;2;3;2;2;3;3;3;2;2;2;3;3;3;2
0;1;0;0;0;1;0;0;0;0;0;0;2;3;2;3;3;3;2;2;2;2;3;3;2;3;2;3;2;3;2;2;2;2;3;2;2;3;2;3;3;2;2;1;2;2;2;2;2;2;3;2;3;3;3;2;3;2;2;2;2;3;3;2;2;3;3;3;3
0;1;0;1;0;0;0;2;3;5;2;4;2;2;2;2;2;2;2;2;2;2;2;3;3;3;1;2;2;3;3;2;1;2;1;3;3;3;3;3;3;3;2;2;2;2;2;3;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2
1;0;0;1;0;0;0;2;1;1;1;1;3;3;3;3;2;1;1;3;2;2;2;2;2;2;1;1;2;1;2;2;1;1;1;2;1;1;1;1;1;2;2;3;2;2;2;3;2;2;2;2;2;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;3
1;0;0;1;0;0;0;2;2;2;2;2;2;3;3;2;2;2;3;3;2;3;2;2;3;1;2;3;3;2;2;2;2;2;2;2;2;3;3;2;2;1;1;3;2;3;2;2;2;2;2;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;2
1;0;0;0;0;1;0;1;1;1;1;1;2;2;2;3;2;1;2;3;3;2;2;2;3;2;2;2;2;3;1;2;2;2;3;3;3;3;3;2;3;2;2;1;2;2;2;2;3;3;3;3;3;3;3;3;2;2;1;2;2;3;3;3;3;3;3;3;2
1;0;0;0;0;1;0;0;0;0;0;0;3;3;3;2;1;1;1;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;1;2;2;1;2;3;3;3;2;3;3;2;2;2;2;2;2;2;3;2;2;2;1;2;2;2;2;2;2;2;2;2;3
1;0;0;1;0;0;0;4;4;4;6;6;3;3;3;3;1;1;2;3;3;3;2;2;3;1;3;3;3;3;2;2;2;2;3;3;3;3;2;3;3;1;2;1;2;2;2;1;3;3;3;2;2;3;3;3;3;2;1;2;3;3;3;2;3;3;3;3;3
1;0;0;0;0;1;0;0;0;0;0;0;2;3;3;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;3;2;3;3;3;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3
1;0;0;0;0;1;0;2;2;2;4;4;3;3;3;3;2;1;2;3;3;3;3;2;3;2;1;3;2;3;3;3;3;2;3;2;3;3;3;3;3;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;2;3;3;3;3
1;0;0;1;0;0;0;2;2;2;2;2;2;2;3;3;2;2;3;3;2;2;1;3;3;1;3;3;3;2;2;2;2;2;3;2;2;2;2;2;3;1;1;1;2;2;3;2;3;3;3;2;3;3;3;3;3;2;1;3;3;2;2;2;3;3;3;3;3
1;0;0;1;0;0;0;20;30;35;40;50;2;2;2;2;1;1;1;2;3;2;3;2;3;3;3;3;2;3;3;3;2;3;3;2;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;3;3;3;2;2;3;3;2;3;3;2;2;2;3;3;3;3;3
1;0;0;0;0;0;1;1;2;3;4;5;2;2;2;2;2;3;3;2;2;2;2;2;2;2;3;3;2;2;3;2;3;2;2;2;2;2;2;2;2;2;3;2;3;2;3;2;3;2;2;2;2;2;2;2;2;3;3;3;3;2;3;2;2;2;2;2;3
1;0;0;0;0;0;1;1;2;3;4;5;2;2;2;2;3;3;2;3;2;2;2;2;2;2;3;2;3;2;3;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2;2;3;3;3;2;3;2;2;2;2;2;3
1;0;0;0;0;0;1;5;6;7;8;9;2;2;2;3;2;2;2;2;2;2;2;2;2;2;3;2;3;2;3;2;3;2;3;2;2;2;2;2;3;3;2;3;2;3;2;3;2;2;2;2;2;2;3;2;2;3;2;3;2;2;2;2;2;2;2;2;3
1;0;0;0;0;0;1;0;1;2;3;4;2;2;2;3;3;2;2;2;2;2;2;2;3;3;3;3;2;2;2;2;2;2;2;2;2;2;3;3;3;2;3;2;3;2;3;2;3;2;2;2;2;2;2;2;2;3;2;3;2;2;2;2;2;2;2;2;3
1;0;1;0;0;0;0;1;3;5;7;9;2;2;2;2;2;2;2;3;3;2;2;2;2;2;3;2;3;2;3;2;3;2;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2;3
1;0;0;1;0;0;0;0;1;2;3;4;2;2;2;2;2;2;3;2;2;2;2;2;3;2;3;2;2;3;2;3;2;3;2;2;2;2;2;2;2;3;2;3;2;2;2;2;3;2;2;3;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;3
1;0;0;1;0;0;0;10;20;30;40;50;2;2;2;3;2;3;2;2;2;2;2;2;2;3;3;3;2;2;3;2;2;3;2;2;2;2;2;2;2;3;3;2;2;2;3;2;3;2;3;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2
1;0;0;1;0;0;0;1;3;6;7;5;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;3;3;2;2;3;2;3;2;2;2;2;3;2;2;2;2;3;2;2;2;2;2;2;3;2;2;2;3;2;2
1;0;0;1;0;0;0;25;25;25;26;27;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
1;0;0;1;0;0;0;20;18;19;21;22;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
1;0;0;1;0;0;0;10;8;6;7;5;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;3;2;2;3;2;3;2;2;2;2;2;2;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2
1;0;0;0;1;0;0;0;0;0;0;0;2;3;3;2;1;1;1;2;2;2;2;3;3;1;2;3;2;3;3;2;3;2;3;1;2;2;1;2;3;2;1;1;2;2;3;3;3;3;3;1;1;3;3;3;3;2;2;1;3;3;3;2;3;3;3;3;2
1;0;1;0;0;0;0;0;0;0;0;0;2;2;2;2;1;1;2;3;2;2;2;2;3;3;3;3;2;3;3;2;2;2;3;1;2;3;2;3;3;2;2;2;2;2;2;2;2;2;2;2;1;3;3;3;3;1;1;2;2;2;2;2;2;2;2;2;2
1;0;1;0;0;0;0;0;0;0;0;0;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2
1;0;0;1;0;0;0;0;0;0;0;0;2;2;2;2;2;3;3;3;3;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;3;3;3;3;2;3;3;3;3;3;3;3;3;3;2;2;2;2;2;3;3;3;3;3;2
1;0;0;1;0;0;0;0;0;0;0;0;2;3;2;2;1;1;1;3;3;2;2;2;3;3;3;2;2;3;2;2;2;2;3;2;2;3;2;3;3;2;2;2;2;2;2;2;2;2;3;2;3;3;3;3;2;1;1;3;3;3;3;2;3;3;3;3;2
1;0;0;1;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
1;0;0;1;0;0;0;5;10;15;20;25;1;2;3;3;2;2;2;2;2;1;2;2;3;2;2;3;3;2;3;2;2;2;2;3;2;2;3;3;3;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;2;2
1;0;0;1;0;0;0;3;4;5;6;7;2;1;2;2;2;2;2;3;2;1;2;3;2;1;2;2;2;3;2;3;3;3;3;3;3;3;3;2;3;3;1;2;3;3;3;1;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;2
1;0;0;0;1;0;0;0;0;0;0;0;3;3;3;3;2;2;1;2;2;2;2;3;3;2;3;3;2;3;3;3;3;2;3;3;3;3;3;3;3;2;2;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;2
1;0;0;0;1;0;0;2;4;6;6;8;2;3;3;2;2;2;2;2;2;2;3;2;2;2;3;2;2;2;2;2;2;2;3;2;2;2;2;2;3;3;2;2;2;3;2;2;2;2;3;2;2;2;3;3;3;2;2;3;3;3;2;2;3;3;3;3;2
1;0;0;0;1;0;0;30;50;50;55;60;2;2;2;3;3;3;3;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;2
1;0;1;0;0;0;0;1;0;0;0;0;2;3;2;2;2;2;2;2;2;3;3;2;2;3;2;2;3;2;2;3;2;2;2;3;2;2;1;2;2;2;2;2;2;3;3;2;2;2;1;1;1;1;2;3;2;1;1;2;2;2;2;2;3;2;2;2;2
1;0;1;0;0;0;0;2;0;0;0;0;2;2;3;3;2;2;3;3;2;2;2;3;2;2;2;3;2;3;2;1;2;1;3;2;3;3;3;3;3;2;1;1;2;2;2;3;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;2;2;2;2;2;2
1;0;0;1;0;0;0;0;0;0;0;0;1;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;1;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;3;3;3;3;3;2
0;1;0;1;0;0;0;0;0;0;0;0;3;3;3;1;1;1;1;2;2;2;2;3;2;2;3;3;2;3;1;2;2;2;2;3;3;3;3;3;3;1;1;1;1;1;2;2;2;2;3;3;3;3;2;3;3;3;3;2;2;2;2;2;3;3;3;3;2
0;1;0;1;0;0;0;2;10;10;10;10;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;3;2;1;1;2;2;1;3;2;2;3;3;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2
1;0;0;0;1;0;0;1;1;1;1;1;3;3;3;3;2;2;3;3;3;3;3;3;2;2;3;3;3;3;2;2;3;2;3;2;2;3;3;3;3;2;2;2;2;2;2;3;2;2;3;2;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;2
0;1;0;0;1;0;0;0;0;0;0;0;2;2;2;2;1;1;3;3;1;2;3;3;3;2;2;3;1;2;3;3;3;2;2;1;1;1;1;2;2;3;2;3;2;3;3;1;2;2;2;1;1;1;3;2;2;1;1;2;3;2;2;2;3;3;3;2;2
0;1;0;0;1;0;0;0;0;0;0;0;2;3;3;2;1;1;2;2;2;2;1;3;2;1;3;3;1;3;2;2;3;1;3;3;3;3;3;3;3;1;1;1;2;1;2;3;3;3;3;2;2;2;3;3;3;3;2;3;3;3;3;3;3;3;3;3;2
0;1;0;0;1;0;0;0;0;0;0;0;1;3;3;2;2;2;2;2;2;2;2;3;2;1;3;3;1;3;2;2;3;1;3;3;3;3;3;3;3;1;1;1;2;1;2;3;3;3;3;2;2;2;3;3;3;2;3;3;3;3;3;3;3;3;3;3;2
0;1;0;0;0;0;1;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;2;2;2;2;2;2;2;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2
1;0;0;0;0;0;1;3;4;5;6;7;2;1;2;2;2;2;2;3;2;1;2;3;2;1;2;2;2;2;3;3;3;3;3;3;3;3;3;2;3;3;1;2;3;3;3;1;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2
0;1;0;0;0;0;1;0;0;0;0;0;2;3;2;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;3
0;1;0;0;0;0;1;0;0;0;0;0;2;3;3;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;3;3;3;3;3;1;2;2;2;3;1;1;2;2;3;3;1;1;3;3;3;3;3;3;3;3;3;2
0;1;0;1;0;0;0;10;10;15;15;10;2;3;3;3;2;3;3;3;2;2;2;3;2;2;3;3;2;3;2;2;3;2;3;3;3;3;3;3;3;2;1;2;2;2;2;3;3;3;3;2;2;2;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3
